Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Kevin,Approx Genre
2016,27,Come Home,Dreaming Out Loud,OneRepublic,,,,,,27,Alternative
2016,28,Talk,Gravity,Against The Current,,,,,,28,Pop
2016,29,Catch My Breath,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,,29,Pop
2016,30,Break Free,My Everything (Deluxe),Ariana Grande,Zedd,,,,,30,Pop
2016,31,Sweater Weather,I'm Sorry…,The Neighbourhood,,,,,,31,Alternative
2016,32,Here Without You,Away From The Sun,3 Doors Down,,,,,,32,Alternative
2016,33,Trophies,Trophies,Young Money,Drake,,,,,33,Rap
2016,34,The Fighter - feat. Ryan Tedder,The Papercut Chronicles II,Gym Class Heroes,,,,,,34,Pop
2016,35,Tapout,Tapout,Rich Gang,Lil Wayne,Birdman,Mack Maine,Nicki Minaj,Future,35,Rap
2016,36,Lights Down Low,Lights Down Low (Main Version),Maejor,Waka Flocka Flame,,,,,36,Rap
2016,37,Mad,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,,,,,,37,Rap
2016,38,Slum Anthem,Slum Anthem,K CAMP,,,,,,38,Rap
2016,39,Not Over You,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,,39,Pop
2016,40,Need You Now,Need You Now,Lady A,,,,,,40,Country
2016,41,Falling Slow,Unbreakable Smile,Tori Kelly,,,,,,41,Love
2016,42,The Stand,The Stand,Hillsong Young & Free,,,,,,42,Worship
2016,43,Somewhere Only We Know,The Best of Keane (Deluxe Edition),Keane,,,,,,43,Alternative
2016,44,0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,,,,,,44,Rap
2016,45,Kiss Me Slowly,The Way It Was,Parachute,,,,,,45,Love
2016,46,Beauty And A Beat,"Alex Goot & Friends, Vol. 3",Alex Goot,ATC,Kurt Hugo Schneider,,,,46,Pop
2016,47,Fall For You,A Twist In My Story,Secondhand Serenade,,,,,,47,Love
2016,48,Up,Up,Olly Murs,Demi Lovato,,,,,48,Pop
2016,49,Follow Through,Chariot - Stripped,Gavin DeGraw,,,,,,49,Alternative
2016,50,See You Again,See You Again,Against The Current,,,,,,50,Pop
2016,51,Right Back Where We Started From,Lost Hits Of The 70s (All Original Artists & Versions),Maxine Nightingale,,,,,,51,Pop
2016,52,Dear No One,Foreword,Tori Kelly,,,,,,52,Love
2016,53,Damaged,Welcome To The Dollhouse,Danity Kane,,,,,,53,Pop
2016,54,Someone Like You,21,Adele,,,,,,54,Love
2016,55,Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,,,,,,55,Pop
2016,56,All Too Well,All Too Well,ATC,,,,,,56,Pop
2016,57,You Are The Music In Me,High School Musical 2 (Original Soundtrack),Troy,Gabriella,Disney,,,,57,Love
2016,58,Just A Picture,Just A Picture,KYLE,Kehlani,,,,,58,Pop
2016,59,Started From The Bottom,Nothing Was The Same (Deluxe),Drake,,,,,,59,Rap
2016,60,Give Your Heart a Break,Unbroken,Demi Lovato,,,,,,60,Love
2016,61,Cigarette Daydreams,Melophobia,Cage The Elephant,,,,,,61,Alternative
2016,62,Kids,Oracular Spectacular,MGMT,,,,,,62,Pop
2016,63,How He Loves,Church Music,David Crowder Band,,,,,,63,Worship
2016,64,The Heart Wants What It Wants,For You,Selena Gomez,,,,,,64,Pop
2016,65,Donald Trump,Donald Trump - Single,Mac Miller,,,,,,65,Country
2016,66,Daydream,Foreword,Tori Kelly,,,,,,66,Love
2016,67,"Bitch, Don't Kill My Vibe","good kid, m.A.A.d city",Kendrick Lamar,,,,,,67,Rap
2016,68,Red,Red,Against The Current,,,,,,68,Pop
2016,69,Counting Stars,Native,OneRepublic,,,,,,69,Alternative
2016,70,Often,Beauty Behind The Madness,The Weeknd,,,,,,70,Pop
2016,71,I Don't Want to Be,Chariot - Stripped,Gavin DeGraw,,,,,,71,Alternative
2016,72,Pompeii,Bad Blood,Bastille,,,,,,72,Alternative
2016,73,Collect Call,Fantasies,Metric,,,,,,73,Alternative
2016,74,Right Above It,I Am Not A Human Being,Lil Wayne,Drake,,,,,74,Rap
2016,75,Give Me Faith,Kingdom Come,Elevation Worship,,,,,,75,Worship
2016,76,Let's Go - feat. TobyMac,Outta Space Love,Group 1 Crew,,,,,,76,Worship
2016,77,The Lovers Are Losing,Perfect Symmetry,Keane,,,,,,77,Alternative
2016,78,In The Name of Love,In The Name of Love,Martin Garrix,Bebe Rexha,,,,,78,Pop
2016,79,Giving My Life,"Humanity, Vol. I",I-Exist,,,,,,79,Alternative
2016,80,Raging Fire,Raging Fire,Phillip Phillips,,,,,,80,Alternative
2016,81,Waving Flag - Power Remix,Waving Flag - Single,Chani,,,,,,81,Rap
2016,82,Got Money,Tha Carter III,Lil Wayne,T-Pain,,,,,82,Rap
2016,83,Moonlight,Inspire - EP,Rameses B,,,,,,83,Alternative
2016,84,No Faith in Brooklyn (feat. Jhameel),All American,Hoodie Allen,Jhameel,,,,,84,Pop
2016,85,The Haters,Success and Failure & Prince of the South 2 (Deluxe Version),Chingy,,,,,,85,Rap
2016,86,Dirt,Dirt,Florida Georgia Line,,,,,,86,Country
2016,87,Play It Again,Crash My Party,Luke Bryan,,,,,,87,Country
2016,88,Story Of My Life,Midnight Memories (Deluce),One Direction,,,,,,88,Pop
2016,89,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,,,,,,89,Alternative
2016,90,Crush,David Archuleta,David Archuleta,,,,,,90,Pop
2016,91,Love Me Like You Mean It,The First Time,Kelsea Ballerini,,,,,,91,Pop
2016,92,She Will Be Loved (feat. Tiffany Alvord),"Cover Collaborations, Vol. 1",Boyce Avenue,Tiffany Alvord,,,,,92,Pop
2016,93,No Interruption,All American,Hoodie Allen,,,,,,93,Pop
2016,94,Team,Pure Heroine,Lorde,,,,,,94,Pop
2016,95,Impossible - Main,No Gravity,Shontelle,,,,,,95,Pop
2016,96,Find You,"Alex Goot & Friends, Vol. 4",Alex Goot,ATC,,,,,96,Pop
2016,97,Wasteland,Wasteland,Against The Current,,,,,,97,Pop
2016,98,Fall Back,The Proven Theory,YONAS,,,,,,98,Rap
2016,99,Don't You Wanna Stay,My Kinda Party,Jason Aldean,Kelly Clarkson,,,,,99,Country
2016,100,Eye of the Needle,1000 Forms Of Fear (Deluxe Version),Sia,,,,,,100,Pop
2016,101,All These Things That I've Done,Hot Fuss,The Killers,,,,,,101,Alternative
2017,1,Lonely Love Song,Spectacular! (Music from the Nickelodeon Original Movie),Spectacular! Cast,,,,,,102,Love
2017,2,All About Us,My Forever,He Is We,Owl City,,,,,103,Love
2017,3,Give Me Faith,Kingdom Come,Elevation Worship,,,,,,104,Worship
2017,4,Only Just A Call Away,Everybody Wants,The Struts,,,,,,105,Pop
2017,5,Your Love Changes Everything (Live) [feat. Brock Human],Simple Gospel (Live),United Pursuit,Brock Human,,,,,106,Worship
2017,6,You Better Believe,a girl a bottle a boat,Train,,,,,,107,Alternative
2017,7,I Will Follow,The Rock Won't Move,Vertical Worship,,,,,,108,Worship
2017,8,The Heart Of Worship,Sing Like Never Before: The Essential Collection,Matt Redman,,,,,,109,Worship
2017,9,Sweater Weather,I'm Sorry…,The Neighbourhood,,,,,,110,Alternative
2017,10,Heartbeat Song,Piece By Piece (Deluxe Version),Kelly Clarkson,,,,,,111,Pop
2017,11,Far Away,All The Right Reasons (Special Edition),Nickelback,,,,,,112,Rock
2017,12,Starving,Starving,Hailee Steinfeld,,,,,,113,Love
2017,13,Bad Romance,Sing On,On The Rocks,,,,,,114,Pop
2017,14,All Things New,For The Honor,Elevation Worship,,,,,,115,Worship
2017,15,The Good Part,The Click,AJR,,,,,,116,Pop
2017,16,Pompeii,Pompeii,Josh Golden,Savannah Outen,,,,,117,Alternative
2017,17,Never Going Back (Live) [feat. Brock Human],Simple Gospel (Live),United Pursuit,Brock Human,,,,,118,Worship
2017,18,Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,Zara Larsson,,,,,119,Pop
2017,19,"i hate u, i love u (feat. olivia o'brien)",us,gnash,Olivia O'Brien,,,,,120,Pop
2017,20,Sweater Weather,Sweater Weather,Kurt Hugo Schneider,Alyson Stoner,MAX,,,,121,Pop
2017,21,Fallin' For You,Breakthrough (Deluxe Edition),Colbie Caillat,,,,,,122,Pop
2017,22,Wake - Studio Version,We Are Young & Free (Live),Hillsong Young & Free,,,,,,123,Worship
2017,23,Lovesick,Why?,Jacob Whitesides,,,,,,124,Pop
2017,24,Find You - Acoustic - Live In Los Angeles,Find You (Acoustic - Live In Los Angeles),Zedd,Matthew Koma,Miriam Bryant,,,,125,Pop
2017,25,Only King Forever,Only King Forever,Elevation Worship,,,,,,126,Worship
2017,26,No Faith in Brooklyn (feat. Jhameel),All American,Hoodie Allen,Jhameel,,,,,127,Pop
2017,27,Kiss Me Slowly,The Way It Was,Parachute,,,,,,128,Love
2017,28,Simple Gospel (Live),Simple Gospel (Live),United Pursuit,,,,,,129,Worship
2017,29,Whatever It Takes,Who We Are (All Partners Version),Lifehouse,,,,,,130,Alternative
2017,30,Unbelievable,Mobile Orchestra,Owl City,Hanson,,,,,131,Pop
2017,31,What the Hell,Goodbye Lullaby,Avril Lavigne,,,,,,132,Pop
2017,32,The Glories of Calvary,30: Three Decades of Songs for the Church,Sovereign Grace Music,Norton Hall,,,,,133,Worship
2017,33,Don't Let Me Down,Don't Let Me Down,Joy Williams,,,,,,134,Alternative
2017,34,What A Beautiful Name,What A Beautiful Name,Hillsong Worship,,,,,,135,Worship
2017,35,Play That Song,a girl a bottle a boat,Train,,,,,,136,Alternative
2017,36,Things We Do For Love,Spectacular! (Music from the Nickelodeon Original Movie),Spectacular! Cast,,,,,,137,Love
2017,37,First Time,Who We Are (All Partners Version),Lifehouse,,,,,,138,Alternative
2017,38,You Found Me,The Fray,The Fray,,,,,,139,Alternative
2017,39,Here Without You,Away From The Sun,3 Doors Down,,,,,,140,Alternative
2017,40,The Stand,The Stand,Hillsong Young & Free,,,,,,141,Worship
2017,41,You Make Me Brave (Live),You Make Me Brave (Live),Bethel Music,Amanda Cook,,,,,142,Worship
2017,42,All In,Smoke & Mirrows (Deluxe),Lifehouse,,,,,,143,Alternative
2017,43,Lost Me,The Transition (Deluxe),YONAS,,,,,,144,Rap
2017,44,50 Ways to Say Goodbye,California 37,Train,,,,,,145,Alternative
2017,45,Sparks Fly,Speak Now,Taylor Swift,,,,,,146,Pop
2017,46,Rush,Into The Rush,Aly & AJ,,,,,,147,Pop
2017,47,Messiah / You're Beautiful,Cannons,Phil Wickham,,,,,,148,Worship
2017,48,You & I,Only The Lonely,Colony House,,,,,,149,Alternative
2017,49,Let Her Go (feat. Hannah Trigwell),"Cover Collaborations, Vol. 3",Boyce Avenue,Hannah Trigwell,,,,,150,Pop
2017,50,Heartbreak Girl,5 Seconds of Summer,5 Seconds of Summer,,,,,,151,Pop
2017,51,Set a Fire,Endless Years,Will Reagan,United Pursuit,,,,,152,Worship
2017,52,Great I Am,Breathe In,Phillips,Craig & Dean,,,,,153,Worship
2017,53,Flexicution,Bobby Tarantino,Logic,,,,,,154,Rap
2017,54,Lost and Found,a girl a bottle a boat,Train,,,,,,155,Alternative
2017,55,How to Save a Life,00s Covers,Chris Pomeroy,,,,,,156,Pop
2017,56,Unbelievable,Instigator,Kaci Brown,,,,,,156,Pop
2017,57,Since U Been Gone,Breakaway,Kelly Clarkson,,,,,,157,Pop
2017,58,Little Wonders,Little Wonders,Rob Thomas,,,,,,158,Alternative
2017,59,On The Wings Of A Dream,Spectacular! (Music from the Nickelodeon Original Movie),Spectacular! Cast,,,,,,159,Love
2017,60,What About Now,Daughtry (Deluxe Edition),Daughtry,,,,,,160,Rock
2017,61,Everyday,High School Musical 2 (Original Soundtrack),Troy,Gabriella,Disney,,,,161,Love
2017,62,How To Love,Tha Carter IV (Deluxe),Lil Wayne,,,,,,162,Rap
2017,63,This Is My Father's World,Hymns,Mark Schultz,,,,,,163,Worship
2017,64,Cocoon,The Balcony,Catfish and the Bottlemen,,,,,,164,Alternative
2017,65,Cough Syrup,Young the Giant (Special Edition),Young the Giant,,,,,,165,Alternative
2017,66,Love Me Harder,My Everything (Deluxe),Ariana Grande,The Weeknd,,,,,166,Pop
2017,67,You And Me,Lifehouse,Lifehouse,,,,,,167,Alternative
2017,68,Shake It Off,Shake It Off,Alex G,Alyson Stoner,,,,,168,Pop
2017,69,BE HERE LONG,H A R D L O V E,NEEDTOBREATHE,,,,,,169,Alternative
2017,70,Come Home,Dreaming Out Loud,OneRepublic,,,,,,170,Alternative
2017,71,Chemicals React Remix,Insomniatic,Aly & AJ,,,,,,171,Pop
2017,72,Starboy,Starboy,The Weeknd,Daft Punk,,,,,172,Pop
2017,73,The Funeral,Everything All The Time,Band of Horses,,,,,,173,Pop
2017,74,Find You,Find You,Zedd,Matthew Koma,Miriam Bryant,,,,174,Pop
2017,75,Wasted,MKTO,MKTO,,,,,,175,Pop
2017,76,Glory,The Ascension,Phil Wickham,,,,,,176,Worship
2017,77,Fresh Eyes,Fresh Eyes,Andy Grammer,,,,,,177,Pop
2017,78,Hush Hush; Hush Hush - Main,Hush Hush; Hush Hush,The Pussycat Dolls,,,,,,178,Pop
2017,79,Take It Easy - Eagles 2013 Remaster,Eagles (Remastered),Eagles,,,,,,179,Rock
2017,80,21,21,Hunter Hayes,,,,,,180,Country
2017,81,Love Is On Its Way - The 3D Concert Experience,Music from the 3D Concert Experience,Jonas Brothers,,,,,,181,Pop
2017,82,Someone Like You,21,Adele,,,,,,182,Love
2017,83,Red,Red,Against The Current,,,,,,183,Pop
2017,84,Love Song,Little Voice,Sara Bareilles,,,,,,184,Love
2017,85,Now Or Never - Original Version,High School Musical 3: Senior Year,High School Musical Cast,,,,,,185,Pop
2017,86,I Was Made For Loving You,Unbreakable Smile,Tori Kelly,Ed Sheeran,,,,,186,Love
2017,87,Eye of the Needle,1000 Forms Of Fear (Deluxe Version),Sia,,,,,,187,Pop
2017,88,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Sean Paul,Anne-Marie,,,,188,Pop
2017,89,Paper Hearts,Foreword,Tori Kelly,,,,,,189,Love
2017,90,How to Save a Life,How To Save A Life,The Fray,,,,,,190,Alternative
2017,91,Say You Won't Let Go,Back from the Edge,James Arthur,,,,,,191,Love
2017,92,I Hate This Part,Doll Domination,The Pussycat Dolls,,,,,,192,Pop
2017,93,Let Her Go,All the Little Lights,Passenger,,,,,,193,Alternative
2017,94,Over My Head (Cable Car),How To Save A Life,The Fray,,,,,,194,Alternative
2017,95,Forever & Always,Fearless,Taylor Swift,,,,,,195,Pop
2017,96,Mr. Jones,August And Everything After,Counting Crows,,,,,,196,Alternative
2017,97,Scandal of Grace,Zion,Hillsong UNITED,,,,,,197,Worship
2017,98,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,,,,,,198,Alternative
2017,99,Sinking Deep,This Is Living,Hillsong Young & Free,,,,,,199,Worship
2017,100,Good Life,Waking Up (Deluxe),OneRepublic,,,,,,200,Alternative
2018,1,Dreams and Nightmares,Dreams and Nightmares (Deluxe Version),Meek Mill,,,,,,201,Rap
2018,2,Lovebug,A Little Bit Longer,Jonas Brothers,,,,,,202,Pop
2018,3,Switch Lanes,Hotel California (Deluxe Version),Tyga,The Game,,,,,203,Rap
2018,4,Hurts So Good,Astrid S,Astrid S,,,,,,204,Pop
2018,5,Get Her Tho (feat. Tyga),Get Her Tho (feat. Tyga) - Single,D-Lo,Tyga,,,,,205,Rap
2018,6,SICKO MODE,ASTROWORLD,Travis Scott,,,,,,206,Rap
2018,7,Happiness,Talking Pictures,Tyler Kyte,,,,,,207,Alternative
2018,8,Hearts On Fire,Hearts On Fire,Gavin James,,,,,,208,Alternative
2018,9,10 Bands,If You're Reading This It's Too Late,Drake,,,,,,209,Rap
2018,10,All The Stars (with SZA),Black Panther The Album Music From and Inspired By,Kendrick Lamar,SZA,,,,,210,Rap
2018,11,RGF Island,Fetty Wap (Deluxe),Fetty Wap,,,,,,211,Rap
2018,12,With That (feat. Duke),Barter 6,Young Thug,Duke,,,,,212,Rap
2018,13,Rambo,T R A P S O U L,Bryson Tiller,,,,,,213,Rap
2018,14,Found,I'll Be the Branches,Chris Renzema,,,,,,214,Worship
2018,15,All or Nothing,O-Town,O-Town,,,,,,215,Love
2018,16,Before the Storm (feat. Miley Cyrus),"Lines, Vines, and Trying Times",Jonas Brothers,Miley Cyrus,,,,,216,Pop
2018,17,Helicopter,Helicopter,TWRK,,,,,,217,EDM
2018,18,Never Say Never,The Fray,The Fray,,,,,,218,Alternative
2018,19,Dear God,Dear God,Hunter Hayes,,,,,,219,Country
2018,20,God's Plan,Scary Hours,Drake,,,,,,220,Rap
2018,21,Sky Walker (feat. Travis Scott),War & Leisure,Miguel,Travis Scott,,,,,221,Rap
2018,22,Burn - feat. Big Sean,Burn (feat. Big Sean),Meek Mill,Big Sean,,,,,222,Rap
2018,23,High Hopes,Pray For The Wicked,Panic! At The Disco,,,,,,223,Pop
2018,24,Model Homes,"We Are an Empire, My Dear",In-Flight Safety,,,,,,224,Alternative
2018,25,XO TOUR Llif3,Luv is Rage 2,Lil Uzi Vert,,,,,,225,Rap
2018,26,Man Of The Year,Man Of The Year,ScHoolboy Q,,,,,,226,Rap
2018,27,Evergreens,Future Memoirs,Allan Kingdom,,,,,,227,Rap
2018,28,Quarter Past Midnight,Quarter Past Midnight,Bastille,,,,,,228,Alternative
2018,29,All We Got,DWNR,Dem Atlas,,,,,,229,Rap
2018,30,Flexicution,Bobby Tarantino,Logic,,,,,,230,Rap
2018,31,6 Man,If You're Reading This It's Too Late,Drake,,,,,,231,Rap
2018,32,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,21 Savage,,,,,232,Rap
2018,33,Love Lies (with Normani),Love Lies (with Normani),Khalid,Normani,,,,,233,Pop
2018,34,Bobby Bitch,Bobby Bitch,Bobby Shmurda,,,,,,234,Rap
2018,35,1AM,My Krazy Life,YG,,,,,,235,Rap
2018,36,Where Will I Go,Raw,Hopsin,,,,,,236,Rap
2018,37,Somewhere Only We Know,The Best of Keane (Deluxe Edition),Keane,,,,,,237,Alternative
2018,38,Iris,Dizzy Up The Girl,The Goo Goo Dolls,,,,,,238,Alternative
2018,39,Break The Bank,Oxymoron (Deluxe),ScHoolboy Q,,,,,,239,Rap
2018,40,A Tale of 2 Citiez,2014 Forest Hills Drive,J. Cole,,,,,,240,Pop
2018,41,2 Soon,Not Thinking Bout 2morrow,Jon Young,,,,,,241,Pop
2018,42,Believe Me,Believe Me,Lil Wayne,Drake,,,,,242,Rap
2018,43,Digits,Slime Season 3,Young Thug,,,,,,243,Rap
2018,44,Perplexing Pegasus,Perplexing Pegasus,Rae Sremmurd,,,,,,244,Pop
2018,45,Bad For You (feat. Nicki Minaj),Dreams Worth More Than Money,Meek Mill,Nicki Minaj,,,,,245,Rap
2018,46,Brother (feat. Gavin DeGraw),Brother,NEEDTOBREATHE,Gavin DeGraw,,,,,246,Alternative
2018,47,Televised,Windows I,HUNNY,,,,,,247,Alternative
2018,48,Nocturnal Rainbows,Raw,Hopsin,,,,,,248,Rap
2018,49,Build My Life,Housefires III,Housefires,,,,,,249,Worship
2018,50,Crazy Brazy,Cozy Tapes: Vol. 1 Friends -,A$AP Mob,A$AP Rocky,A$AP Twelvyy,KEY,,,250,Rap
2018,51,1234,Only The Lonely,Colony House,,,,,,251,Alternative
2018,52,Love Is On Its Way - The 3D Concert Experience,Music from the 3D Concert Experience,Jonas Brothers,,,,,,252,Pop
2018,53,She Will,Tha Carter IV (Deluxe),Lil Wayne,,,,,,253,Rap
2018,54,Photograph,x (Deluxe Edition),Ed Sheeran,,,,,,254,Pop
2018,55,Rack City,Careless World: Rise Of The Last King,Tyga,,,,,,255,Rap
2018,56,All I Got,All I Got,Henderson,,,,,,256,Rap
2018,57,Lights Down Low,Lights Down Low (Main Version),Maejor,Waka Flocka Flame,,,,,257,Rap
2018,58,Cocoon,The Balcony,Catfish and the Bottlemen,,,,,,258,Alternative
2018,59,Collard Greens,Collard Greens,ScHoolboy Q,,,,,,259,Rap
2018,60,Handsome and Wealthy,No Label II,Migos,,,,,,260,Rap
2018,61,95 Till Infinity,Summer Knights,Joey Bada$$,,,,,,261,Rap
2018,62,Mercy,Mercy,Kanye West,Big Sean,Pusha T,2 Chainz,,,262,Rap
2018,63,This Could Be Us,SremmLife,Rae Sremmurd,,,,,,263,Pop
2018,64,No Complaints,No Complaints,Metro Boomin,Offset,Drake,,,,264,Rap
2018,65,Tapout,Rich Gang,Rich Gang,Lil Wayne,Birdman,Mack Maine,Nicki Minaj,Future,265,Rap
2018,66,Too Much To Ask,Flicker (Deluxe),Niall Horan,,,,,,266,Love
2018,67,Hold On,Jonas Brothers,Jonas Brothers,,,,,,267,Pop
2018,68,The Man Who Can't Be Moved,The Script,The Script,,,,,,268,Alternative
2018,69,Lips Of An Angel,Extreme Behavior,Hinder,,,,,,269,Rock
2018,70,OTW,OTW,Khalid,6LACK,Ty Dolla $ign,,,,270,Pop
2018,71,Tattoo,Jordin Sparks,Jordin Sparks,,,,,,271,Pop
2018,72,STAR,SATURATION,BROCKHAMPTON,,,,,,272,Rap
2018,73,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,,,,,,273,Rap
2018,74,Just Imagine It,Bad Girls EP,MKTO,,,,,,274,Pop
2018,75,2 Bitches,2 Bitches,Young Thug,,,,,,275,Rap
2018,76,Right Above It,I Am Not A Human Being,Lil Wayne,Drake,,,,,276,Rap
2018,77,Hands On The Wheel,Hands On The Wheel,ScHoolboy Q,A$AP Rocky,,,,,277,Rap
2018,78,Love Story,Fearless,Taylor Swift,,,,,,278,Pop
2018,79,Fight Night,No Label II,Migos,,,,,,279,Rap
2018,80,Makes Me Wonder,It Won't Be Soon Before Long.,Maroon 5,,,,,,280,Pop
2018,81,Tremble (Studio Version),Unknown - EP,Mosaic MSC,,,,,,281,Worship
2018,82,Mad Love,Mad Love,Sean Paul,David Guetta,Becky G,,,,282,Pop
2018,83,Mail Long,Big Bossin Vol. 2,Payroll Giovanni & Cardo,E-40,,,,,283,Rap
2018,84,All In,Smoke & Mirrows (Deluxe),Lifehouse,,,,,,284,Alternative
2018,85,Bussin Juggs,"Hip Hop Early, Vol. 14",Gucci Mane,,,,,,285,Rap
2018,86,I'm So Sorry (feat. Young Thug),I'm So Sorry (feat. Young Thug),Spenzo,Young Thug,,,,,286,Rap
2018,87,Got Money,Tha Carter III,Lil Wayne,T-Pain,,,,,287,Rap
2018,88,Ill Mind of Hopsin 5,Ill Mind of Hopsin 5 - Single,Hopsin,,,,,,288,Rap
2018,89,Headlines,Take Care (Deluxe),Drake,,,,,,289,Rap
2018,90,HeadBand (feat. 2 Chainz),Underground Luxury,B.o.B,2 Chainz,,,,,290,Pop
2018,91,Pompeii,Pompeii,Josh Golden,Savannah Outen,,,,,291,Alternative
2018,92,The Middle,The Middle,Zedd,Maren Morris,Grey,,,,292,Pop
2018,93,Only Just A Call Away,Everybody Wants,The Struts,,,,,,293,Pop
2018,94,City In Silhouettes,The Golden Age of Knowhere,Funeral Party,,,,,,294,Alternative
2018,95,HUMBLE.,DAMN.,Kendrick Lamar,,,,,,295,Rap
2018,96,All Eyes On You (feat. Chris Brown & Nicki Minaj),Dreams Worth More Than Money,Meek Mill,Chris Brown,Nicki Minaj,,,,296,Rap
2018,97,Oten,Beauty Behind The Madness,The Weeknd,,,,,,297,Pop
2018,98,Live It Well,Where The Light Shines Through,Switchfoot,,,,,,298,Alternative
2018,99,679 (feat. Remy Boyz,679 (feat. Remy Boyz,Fetty Wap,Remy Boyz,,,,,299,Rap
2018,100,Energy,If You're Reading This It's Too Late,Drake,,,,,,300,Rap
2019,1,I Want To Love You,Lenachka,Lenachka,,,,,,301,Love
2019,2,Sit Next To Me,Sacred Hearts Club,Foster The People,,,,,,302,Pop
2019,3,I Don't Know About You,Laps Around The Sun,Chris Lane,,,,,,303,Country
2019,4,Stop And Stare,Dreaming Out Loud,OneRepublic,,,,,,304,Alternative
2019,5,Are You Gonna Kiss Me Or Not,Thompson Square,Thompson Square,,,,,,305,Country
2019,6,Today Was A Fairytale - US Version,Today Was A Fairytale,Taylor Swift,,,,,,306,Pop
2019,7,Never Say Never,The Fray,The Fray,,,,,,307,Alternative
2019,8,Another In The Fire - Live,People (Live),Hillsong UNITED,,,,,,308,Worship
2019,9,Lovebug,A Little Bit Longer,Jonas Brothers,,,,,,309,Pop
2019,10,Diamonds,Diamonds,Rihanna,,,,,,310,Pop
2019,11,Fierce - Studio Version,Fierce (Studio Version),Jesus Culture,Chris Quilala,,,,,311,Worship
2019,12,Dreams and Nightmares,Dreams and Nightmares (Deluxe Version),Meek Mill,,,,,,312,Rap
2019,13,Tunnel Vision,Painting Pictures,Kodak Black,,,,,,313,Rap
2019,14,I'm Listening - Live,Breakthrough (Live),Chris McClarney,Hollyn,,,,,314,Worship
2019,15,Without Me,Covers,Alec Chambers,,,,,,315,Love
2019,16,Who Knew,I'm Not Dead,P!nk,,,,,,316,Pop
2019,17,Hypnotized,Hypnotized,The Giving Moon,,,,,,317,Alternative
2019,18,A Drop In The Ocean,The Bedroom Demos,Ron Pope,,,,,,318,Love
2019,19,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),Hailee Steinfeld,,,,,,319,Love
