Year,Ranking,Song,Album,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Kevin,SongID,AlbumID,Artist1ID,Artist2ID,Artist3ID,Artist4ID,Artist5ID,Artist6ID,ApproxGenre,Topic,Music Video,Album Year,Song Length
2016,45,Kiss Me Slowly,The Way It Was,Parachute,,,,,,45,https://open.spotify.com/track/72R0X0h8YaxYNpegeoOl0M,https://open.spotify.com/album/7drIw3eAGaFbqjAQe9EMYF,https://open.spotify.com/artist/2PCUhxD40qlMqsKHjTZD2e,,,,,,Love,,,2011,3:55
2016,46,Beauty And A Beat,"Alex Goot & Friends, Vol. 3",Alex Goot,ATC,Kurt Hugo Schneider,,,,46,https://open.spotify.com/track/692mV5nN8lLqr2DJMd6h8W,https://open.spotify.com/album/0GhppB5IFroTmdP5HxQKE0,https://open.spotify.com/artist/66Fb5gJ9SX2WGlqDLUpjux,https://open.spotify.com/artist/74ZHOTPP0eWWe9kLt8jHbP,https://open.spotify.com/artist/2BHswvFd8tMBizVWGcAMLm,,,,Pop,,,2014,3:24
2016,47,Fall For You,A Twist In My Story,Secondhand Serenade,,,,,,47,https://open.spotify.com/track/7lWF2mVr1KKbVnaT2nSlPo,https://open.spotify.com/album/2wBnQVDlrzxFSVq0gdi0Th,https://open.spotify.com/artist/6eouuqqGggqDlYRV63cgPo,,,,,,Love,,,2008,3:05
2016,48,Up,Up,Olly Murs,Demi Lovato,,,,,48,https://open.spotify.com/track/6gacg6A7xvkWHho45fLqpK,https://open.spotify.com/album/4VlafRQrqRtJH5fflHg5bS,https://open.spotify.com/artist/3whuHq0yGx60atvA2RCVRW,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,,,,,Pop,,,2015,3:44
2016,49,Follow Through,Chariot - Stripped,Gavin DeGraw,,,,,,49,https://open.spotify.com/track/6jSoDFoUl903MNFhS4FuZx,https://open.spotify.com/album/0Fm4Qx8IVHEEBYPeRzNUGI,https://open.spotify.com/artist/5DYAABs8rkY9VhwtENoQCz,,,,,,Alternative,,,2004,3:59
2016,50,See You Again,See You Again,Against The Current,,,,,,50,https://open.spotify.com/track/1LESIWjH1AT8Df1HoiGUXY,https://open.spotify.com/album/6ZwieLckkhq4tGr1L2wx17,https://open.spotify.com/artist/6yhD1KjhLxIETFF7vIRf8B,,,,,,Pop,,,2015,3:49
2016,51,Right Back Where We Started From,Lost Hits Of The 70s (All Original Artists & Versions),Maxine Nightingale,,,,,,51,https://open.spotify.com/track/0Ar1ynkK5zEqFsw2vgez4w,https://open.spotify.com/album/3AcwJqNT1LgZdTttHkoaZ0,https://open.spotify.com/artist/6jQ9UtYXqNfVnPkrH1Xxwi,,,,,,Pop,,,2010,3:18
2016,52,Dear No One,Foreword,Tori Kelly,,,,,,52,https://open.spotify.com/track/2wWboDFZJPWXVNlHUbdSVQ,https://open.spotify.com/album/44D28vK3JSIQ7oQNAfoeBD,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,,,,,,Love,,,2013,3:17
2016,53,Damaged,Welcome To The Dollhouse,Danity Kane,,,,,,53,https://open.spotify.com/track/4yHFxB8kzzeuNvoouR8N0N,https://open.spotify.com/album/3NSb7dq7re8pssO2ukY1ta,https://open.spotify.com/artist/3FD9VAd0ppjmKbfxF4LzUh,,,,,,Pop,,,2008,4:04
2016,54,Someone Like You,21,Adele,,,,,,54,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,https://open.spotify.com/album/1azUkThwd2HfUDdeNeT147,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,,,,,,Love,,,2011,4:45
