Include,,,,,Run,Cooldown,TOTAL,,,,,Guess,,Notes,,,,,,,,,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Kevin Intensity Meter,Town,Season,,Start Time,Notes,
Ike,Monday,3,26,3/26/18,697,5.84,8:12,8:14,7.3,48,0,24,0.33,15:04,15:10,3.96,5,0,721,6.17,53,0,0:53:00,,School,Junior Spring II,,6:50 PM,,
Ike,Tuesday,3,27,3/27/18,477,4,8:14,8:15,7.272,33,0,24,0.33,15:04,15:10,3.96,5,0,501,4.33,38,0,0:38:00,,School,Junior Spring II,,10:10 AM,,
,Wednesday,3,28,3/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Thursday,3,29,3/29/18,695,5.82,8:14,8:15,7.275,48,0,24,0.33,15:01,15:10,3.96,5,0,719,6.15,53,0,0:53:00,,School,Junior Spring II,,8:15 AM,,
Ike,Friday,3,30,3/30/18,479,4.02,8:12,8:13,7.309,33,0,25,0.33,15:04,15:10,3.96,5,0,504,4.35,38,0,0:38:00,,School,Junior Spring II,,11:15 AM,,
Ike,Saturday,3,31,3/31/18,172,1.44,8:17,8:20,7.2,12,0,12,0.16,15:01,15:00,4,2,24,184,1.6,14,24,0:14:24,9,School,Junior Spring II,,3:45 PM,Tried getting in a run before the Final Four games. Stomach was still somewhat full from food. Ate at 12:30ish and ran around 3. Stomach cramps and had to end early.,
Ike,Sunday,4,1,4/1/18,725,6.07,8:14,8:15,7.284,50,0,24,0.33,15:04,15:10,3.96,5,0,749,6.4,55,0,0:55:00,,School,Junior Spring II,,7:30 PM,"If you want to be the best, you have to be willing to do what nobody has done.",
Ike,Monday,4,2,4/2/18,479,4.01,8:13,8:14,7.29,33,0,24,0.33,14:58,15:10,3.96,5,0,503,4.34,38,0,0:38:00,,School,Junior Spring II,,11:30 AM,"Legs sore hours after run. But if you wanna be great, you have to do what others aren't willing to do",
Ike,Tuesday,4,3,4/3/18,715,6,7:59,8:00,7.5,48,0,24,0.34,15:04,14:43,4.08,5,0,739,6.34,53,0,0:53:00,,School,Junior Spring II,,1:25 PM,,
Ike,Wednesday,4,4,4/4/18,479,4.01,8:12,8:14,7.29,33,0,24,0.34,15:04,14:43,4.08,5,0,503,4.35,38,0,0:38:00,,School,Junior Spring II,,6:30 PM,,
,Thursday,4,5,4/5/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,Didn't formally run but played 20 minutes in a soccer . Ankle hurt bad after game. I'm guessing that I ran about 2-3 miles over the 20 minutes,
Ike,Friday,4,6,4/6/18,285,2.39,7:55,7:57,7.547,19,0,18,0.26,14:57,14:37,4.105,3,48,303,2.65,22,48,0:22:48,,School,Junior Spring II,,11:10 AM,Ankle still hurts from soccer yesterday. Right heel also experienced pain underneath foot so I stopped the run early today.,
Ike,Saturday,4,7,4/7/18,728,6.2,7:53,7:55,7.591,49,0,25,0.34,15:01,14:43,4.08,5,0,753,6.54,54,0,0:54:00,,School,Junior Spring II,,7:00 PM,Hard. For Lex,
Ike,Sunday,4,8,4/8/18,480,4.02,8:12,8:13,7.309,33,0,24,0.33,14:58,15:10,3.96,5,0,504,4.35,38,0,0:38:00,,School,Junior Spring II,,11:20 AM,Felt great today,
Ike,Monday,4,9,4/9/18,487,4.09,7:48,7:50,7.668,32,0,24,0.34,14:55,14:43,4.08,5,0,511,4.43,37,0,0:37:00,,School,Junior Spring II,,11:30 AM,,
,Tuesday,4,10,4/10/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,Off day,
Ike,Wednesday,4,11,4/11/18,755,6.34,7:54,7:54,7.608,50,0,24,0.34,14:58,14:43,4.08,5,0,779,6.68,55,0,0:55:00,,School,Junior Spring II,,5:10 PM,Hard. For Lex,
Ike,Thursday,4,12,4/12/18,480,4.04,7:54,7:56,7.575,32,0,24,0.33,15:04,15:10,3.96,5,0,504,4.37,37,0,0:37:00,,School,Junior Spring II,,3:40 PM,Tired. But for you Lex.,
Ike,Friday,4,13,4/13/18,747,6.41,7:47,7:49,7.692,50,0,24,0.33,15:04,15:10,3.96,5,0,771,6.74,55,0,0:55:00,,School,Junior Spring II,,5:25 PM,,
Ike,Saturday,4,14,4/14/18,0,3.63,0,8:00,7.51,29,0,0,0,0,,,0,0,0,3.63,29,0,0:29:00,,School,Junior Spring II,,,GASSED. Meant to press Cool down but accidentally pressed STOP,
,Sunday,4,15,4/15/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Monday,4,16,4/16/18,715,6,7:59,8:00,7.5,48,0,24,0.34,14:58,14:43,4.08,5,0,739,6.34,53,0,0:53:00,,School,Junior Spring II,,11:20 AM,,
Ike,Tuesday,4,17,4/17/18,477,4.01,7:58,7:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,0:37:00,,School,Junior Spring II,,2:55 PM,,
Ike,Wednesday,4,18,4/18/18,763,6.42,7:47,7:48,7.704,50,0,24,0.33,15:04,15:10,3.96,5,0,787,6.75,55,0,0:55:00,,School,Junior Spring II,,9:30 PM,HARD for Bae-lexis,
,Thursday,4,19,4/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,"Heart cramp after 5 minutes, off day",
Ike,Friday,4,20,4/20/18,479,4.01,8:13,8:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,0:38:00,,School,Junior Spring II,,11:35 PM,,
Ike,Saturday,4,21,4/21/18,478,4.01,7:58,7:59,7.518,32,0,24,0.33,14:58,15:10,3.96,5,0,502,4.34,37,0,0:37:00,,School,Junior Spring II,,5:00 PM,,
,Sunday,4,22,4/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Monday,4,23,4/23/18,774,6.52,7:39,7:41,7.824,50,0,24,0.33,14:57,15:10,3.96,5,0,798,6.85,55,0,0:55:00,,School,Junior Spring II,,11:35 AM,,
Ike,Tuesday,4,24,4/24/18,443,3.68,8:56,8:59,6.69,33,0,24,0.33,15:04,15:10,3.96,5,0,467,4.01,38,0,0:38:00,,School,Junior Spring II,,1:55 PM,,
,Wednesday,4,25,4/25/18,0,0,0,,,0,0,0,0,0:00,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Thursday,4,26,4/26/18,784,6.61,7:33,7:34,7.932,50,0,24,0.33,15:04,15:10,3.96,5,0,808,6.94,55,0,0:55:00,,School,Junior Spring II,,5:00 PM,,
Ike,Friday,4,27,4/27/18,353,2.96,8:11,8:13,7.313,24,17,24,0.32,15:01,15:10,3.958,4,51,377,3.28,29,8,0:29:08,,School,Junior Spring II,,4:30 PM,,
,Saturday,4,28,4/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Sunday,4,29,4/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Monday,4,30,4/30/18,723,6.08,7:48,7:49,7.68,47,30,24,0.33,15:01,15:10,3.96,5,0,747,6.41,52,30,0:52:30,,School,Junior Spring II,,4:20 PM,Took a few days off from running because I've been so busy from finals.,
,Tuesday,5,1,5/1/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Wednesday,5,2,5/2/18,478,4.02,7:57,7:58,7.537,32,0,24,0.33,15:04,15:10,3.96,5,0,502,4.35,37,0,0:37:00,,School,Junior Spring II,,10:40 AM,,
,Thursday,5,3,5/3/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
,Friday,5,4,5/4/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring II,,,,
Ike,Saturday,5,5,5/5/18,287,2.44,8:11,8:12,7.32,20,0,20,0.26,14:57,15:24,3.9,4,0,307,2.7,24,0,0:24:00,,School,Junior Spring II,,3:40 PM,,
Ike,Sunday,5,6,5/6/18,477,4.01,7:58,7:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,0:37:00,,School,Junior Spring II,,3:30 PM,,
