Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6
2017,4,Only Just A Call Away,Everybody Wants,The Struts,,,,,
2017,5,Your Love Changes Everything (Live) [feat. Brock Human],Simple Gospel (Live),United Pursuit,Brock Human,,,,
2017,6,You Better Believe,a girl a bottle a boat,Train,,,,,
2017,7,I Will Follow,The Rock Won't Move,Vertical Worship,,,,,
2017,8,The Heart Of Worship,Sing Like Never Before: The Essential Collection,Matt Redman,,,,,
2017,9,Sweater Weather,I'm Sorry…,The Neighbourhood,,,,,
2017,10,Heartbeat Song,Piece By Piece (Deluxe Version),Kelly Clarkson,,,,,
2017,11,Far Away,All The Right Reasons (Special Edition),Nickelback,,,,,
2017,12,Starving,Starving,Hailee Steinfeld,,,,,
2017,13,Bad Romance,Sing On,On The Rocks,,,,,
2017,14,All Things New,For The Honor,Elevation Worship,,,,,
2017,15,The Good Part,The Click,AJR,,,,,
2017,16,Pompeii,Pompeii,Josh Golden,Savannah Outen,,,,
2017,17,Never Going Back (Live) [feat. Brock Human],Simple Gospel (Live),United Pursuit,Brock Human,,,,
2017,18,Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,Zara Larsson,,,,
2017,19,"i hate u, i love u (feat. olivia o'brien)",us,gnash,Olivia O'Brien,,,,
2017,20,Sweater Weather,Sweater Weather,Kurt Hugo Schneider,Alyson Stoner,MAX,,,
2017,21,Fallin' For You,Breakthrough (Deluxe Edition),Colbie Caillat,,,,,
2017,22,Wake - Studio Version,We Are Young & Free (Live),Hillsong Youth & Free,,,,,
2017,23,Lovesick,Why?,Jacob Whitesides,,,,,
2017,24,Find You - Acoustic - Live In Los Angeles,Find You (Acoustic - Live In Los Angeles),Zedd,Matthew Koma,Miriam Bryant,,,
2017,25,Only King Forever,Only King Forever,Elevation Worship,,,,,
2017,26,No Faith in Brooklyn (feat. Jhameel),All American,Hoodie Allen,Jhameel,,,,
2017,27,Kiss Me Slowly,The Way It Was,Parachute,,,,,
2017,28,Simple Gospel (Live),Simple Gospel (Live),United Pursuit,,,,,
2017,29,Whatever It Takes,Who We Are (All Partners Version),Lifehouse,,,,,
2017,30,Unbelievable,Mobile Orchestra,Owl City,Hanson,,,,
2017,31,What the Hell,Goodbye Lullaby,Avril Lavigne,,,,,
2017,32,The Glories of Calvary,30: Three Decades of Songs for the Church,Sovereign Grace Music,Norton Hall,,,,
2017,33,Don't Let Me Down,Don't Let Me Down,Joy Williams,,,,,
2017,34,What A Beautiful Name,What A Beautiful Name,Hillsong Worship,,,,,
2017,35,Play That Song,a girl a bottle a boat,Train,,,,,
2017,36,Things We Do For Love,Spectacular! (Music from the Nickelodeon Original Movie),Spectacular! Cast,,,,,
