,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Outside,Thursday,1,3,01/03/19,429,4.13,0,08:44,6.883,36,0,0,0.23,0,19:13,3.124,4,25,429,4.36,40,25,0:40:25,10:50 AM,,,
Outside,Friday,1,4,01/04/19,269,2.51,0,08:46,6.845,22,0,0,0.25,0,18:20,3.272,4,35,269,2.76,26,35,0:26:35,11:20 AM,,,
Outside,Saturday,1,5,01/05/19,1340,13.30,0,09:02,6.650,120,0,0,0.27,0,18:32,3.240,5,0,1340,13.57,125,0,2:05:00,11:00 AM,,,
Outside,Sunday,1,6,01/06/19,154,1.35,0,08:54,6.750,12,0,0,0.27,0,17:55,3.351,4,50,154,1.62,16,50,0:16:50,11:05 AM,,,
,Monday,1,7,01/07/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,1,8,01/08/19,393,3.71,0,08:38,6.956,32,0,0,0.30,0,16:40,3.600,5,0,393,4.01,37,0,0:37:00,4:55 PM,,,
Outside,Wednesday,1,9,01/09/19,564,5.44,0,08:28,7.095,46,0,0,0.27,0,16:22,3.667,4,25,564,5.71,50,25,0:50:25,11:00 AM,,,
Outside,Thursday,1,10,01/10/19,427,4.10,0,08:33,7.028,35,0,0,0.24,0,18:25,3.260,4,25,427,4.34,39,25,0:39:25,10:40 AM,,,
Outside,Friday,1,11,01/11/19,664,6.47,0,08:49,6.810,57,0,0,0.28,0,17:52,3.360,5,0,664,6.75,62,0,1:02:00,11:00 AM,,,
,Saturday,1,12,01/12/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,1,13,01/13/19,483,4.70,0,09:09,6.558,43,0,0,0.22,0,18:11,3.300,4,0,483,4.92,47,0,0:47:00,8:45 AM,,,
Ike,Monday,1,14,01/14/19,510,4.28,7:55,07:57,7.552,34,0,24,0.34,15:04,14:43,4.080,5,0,534,4.62,39,0,0:39:00,6:50 PM,,,
Ike,Tuesday,1,15,01/15/19,701,5.85,8:32,08:33,7.020,50,0,24,0.33,14:57,15:10,3.960,5,0,725,6.18,55,0,0:55:00,4:30 PM,,,
Ike,Wednesday,1,16,01/16/19,536,4.52,7:30,07:32,7.976,34,0,24,0.33,14:57,15:10,3.960,5,0,560,4.85,39,0,0:39:00,4:00 PM,,,
Ike,Thursday,1,17,01/17/19,282,2.35,8:28,08:31,7.050,20,0,19,0.27,14:58,14:49,4.050,4,0,301,2.62,24,0,0:24:00,12:05 PM,,,
Ike,Friday,1,18,01/18/19,510,4.29,7:55,07:56,7.570,34,0,24,0.33,15:04,15:10,3.960,5,0,534,4.62,39,0,0:39:00,4:00 PM,,,
,Saturday,1,19,01/19/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Sunday,1,20,01/20/19,894,7.50,7:59,08:00,7.500,60,0,24,0.33,15:01,15:10,3.960,5,0,918,7.83,65,0,1:05:00,10:00 AM,,,
,Monday,1,21,01/21/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,1,22,01/22/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Wednesday,1,23,01/23/19,511,4.30,7:54,07:55,7.588,34,0,25,0.33,14:56,15:10,3.960,5,0,536,4.63,39,0,0:39:00,3:00 PM,,,
,Thursday,1,24,01/24/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,1,25,01/25/19,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,536,4.63,39,0,0:39:00,3:20 PM,,,
Ike,Saturday,1,26,01/26/19,287,2.40,8:18,08:20,7.200,20,0,19,0.27,14:58,14:49,4.050,4,0,306,2.67,24,0,0:24:00,10:30 AM,,,
,Sunday,1,27,01/27/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,1,28,01/28/19,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,536,4.63,39,0,0:39:00,11:10 AM,,,
Ike,Tuesday,1,29,01/29/19,512,4.30,7:53,07:55,7.588,34,0,24,0.34,14:58,14:43,4.080,5,0,536,4.64,39,0,0:39:00,4:55 PM,,,
,Wednesday,1,30,01/30/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Thursday,1,31,01/31/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,2,1,02/01/19,512,4.30,7:53,07:55,7.588,34,0,24,0.34,15:04,14:43,4.080,5,0,536,4.64,39,0,0:39:00,4:25 PM,,,
Ike,Saturday,2,2,02/02/19,299,2.51,7:57,07:59,7.530,20,0,19,0.27,14:57,14:49,4.050,4,0,318,2.78,24,0,0:24:00,4:05 PM,,,
Ike,Sunday,2,3,02/03/19,511,4.30,7:54,07:55,7.588,34,0,25,0.33,14:58,15:10,3.960,5,0,536,4.63,39,0,0:39:00,10:00 AM,,,
,Monday,2,4,02/04/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,2,5,02/05/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,2,6,02/06/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Thursday,2,7,02/07/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,2,8,02/08/19,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,536,4.63,39,0,0:39:00,9:20 AM,,,
,Saturday,2,9,02/09/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Sunday,2,10,02/10/19,860,7.20,8:19,08:20,7.200,60,0,25,0.33,15:04,15:10,3.960,5,0,885,7.53,65,0,1:05:00,9:10 AM,,,
,Monday,2,11,02/11/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,2,12,02/12/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Wednesday,2,13,02/13/19,307,2.58,7:44,07:46,7.740,20,0,19,0.27,14:57,14:49,4.050,4,0,326,2.85,24,0,0:24:00,9:10 AM,,,
,Thursday,2,14,02/14/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,2,15,02/15/19,597,5.07,6:53,06:55,8.691,35,0,24,0.33,14:56,15:10,3.960,5,0,621,5.40,40,0,0:40:00,6:00 PM,,,
Ike,Saturday,2,16,02/16/19,280,2.33,8:33,08:36,6.990,20,0,19,0.27,14:58,14:49,4.050,4,0,299,2.60,24,0,0:24:00,10:10 AM,,,
Ike,Sunday,2,17,02/17/19,862,7.21,8:18,08:20,7.210,60,0,24,0.33,14:58,15:10,3.960,5,0,886,7.54,65,0,1:05:00,9:30 AM,,,
Ike,Monday,2,18,02/18/19,280,2.34,8:31,08:33,7.020,20,0,20,0.27,14:58,14:49,4.050,4,0,300,2.61,24,0,0:24:00,10:55 AM,,,
,Tuesday,2,19,02/19/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,2,20,02/20/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
CRCE,Thursday,2,21,02/21/19,291,2.44,8:10,08:12,7.320,20,0,20,0.27,14:56,14:49,4.050,4,0,311,2.71,24,0,0:24:00,9:30 AM,,,
Ike,Friday,2,22,02/22/19,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:04,15:10,3.960,5,0,536,4.63,39,0,0:39:00,9:00 AM,,,
Ike,Saturday,2,23,02/23/19,951,8.03,7:28,07:29,8.030,60,0,24,0.33,15:04,15:10,3.960,5,0,975,8.36,65,0,1:05:00,7:15 PM,,,
Ike,Sunday,2,24,02/24/19,269,2.23,8:55,08:59,6.690,20,0,19,0.27,14:58,14:49,4.050,4,0,288,2.50,24,0,0:24:00,11:15 AM,,,
Ike,Monday,2,25,02/25/19,512,4.30,7:53,07:55,7.588,34,0,24,0.34,14:58,14:43,4.080,5,0,536,4.64,39,0,0:39:00,11:45 AM,,,
,Tuesday,2,26,02/26/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Wednesday,2,27,02/27/19,512,4.30,7:53,07:55,7.588,34,0,24,0.34,15:04,14:43,4.080,5,0,536,4.64,39,0,0:39:00,9:25 AM,,,
Ike,Thursday,2,28,02/28/19,292,2.45,8:09,08:10,7.350,20,0,19,0.26,15:04,15:24,3.900,4,0,311,2.71,24,0,0:24:00,10:50 AM,,,
Ike,Friday,3,1,03/01/19,341,2.87,7:50,07:51,7.653,22,30,22,0.29,15:01,15:32,3.866,4,30,363,3.16,27,0,0:27:00,9:00 AM,,,
Ike,Saturday,3,2,03/02/19,871,7.30,8:12,08:14,7.300,60,0,25,0.33,15:01,15:10,3.960,5,0,896,7.63,65,0,1:05:00,10:00 AM,,,
Ike,Sunday,3,3,03/03/19,282,2.36,8:27,08:29,7.080,20,0,20,0.26,15:04,15:24,3.900,4,0,302,2.62,24,0,0:24:00,10:20 AM,,,
,Monday,3,4,03/04/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
CRCE,Tuesday,3,5,03/05/19,373,3.13,7:58,08:00,7.512,25,0,24,0.33,14:58,15:10,3.960,5,0,397,3.46,30,0,0:30:00,9:20 AM,,,
,Wednesday,3,6,03/06/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
CRCE,Thursday,3,7,03/07/19,363,2.57,0,07:47,7.710,20,0,0,0.35,0,14:18,4.200,5,0,363,2.92,25,0,0:25:00,9:25 AM,,,
Ike,Friday,3,8,03/08/19,524,4.42,7:41,07:42,7.800,34,0,24,0.33,15:04,15:10,3.960,5,0,548,4.75,39,0,0:39:00,6:00 PM,,,
Ike,Saturday,3,9,03/09/19,478,3.99,8:30,08:32,7.041,34,0,24,0.33,14:58,15:10,3.960,5,0,502,4.32,39,0,0:39:00,9:40 AM,,,
,Sunday,3,10,03/10/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Monday,3,11,03/11/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
CRCE,Tuesday,3,12,03/12/19,512,4.30,7:54,07:55,7.588,34,0,24,0.33,14:58,15:10,3.960,5,0,536,4.63,39,0,0:39:00,8:55 AM,,,
Ike,Wednesday,3,13,03/13/19,280,2.33,8:32,08:36,6.990,20,0,19,0.27,14:58,14:49,4.050,4,0,299,2.60,24,0,0:24:00,11:20 AM,,,
,Thursday,3,14,03/14/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,3,15,03/15/19,512,4.30,7:53,07:55,7.588,34,0,24,0.33,15:01,15:10,3.960,5,0,536,4.63,39,0,0:39:00,8:20 PM,,,
,Saturday,3,16,03/16/19,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,3,17,03/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,3,18,03/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,3,19,03/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,3,20,03/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,3,21,03/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,3,22,03/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,3,23,03/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,3,24,03/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,3,25,03/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,3,26,03/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,3,27,03/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,3,28,03/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,3,29,03/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,3,30,03/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,3,31,03/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,1,04/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,2,04/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,4,3,04/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,4,4,04/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,4,5,04/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,4,6,04/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,4,7,04/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,8,04/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,9,04/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,4,10,04/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,4,11,04/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,4,12,04/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,4,13,04/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,4,14,04/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,15,04/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,16,04/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,4,17,04/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,4,18,04/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,4,19,04/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,4,20,04/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,4,21,04/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,22,04/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,23,04/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,4,24,04/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,4,25,04/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,4,26,04/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,4,27,04/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,4,28,04/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,4,29,04/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,4,30,04/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,1,05/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,2,05/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,3,05/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,4,05/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,5,05/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,6,05/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,7,05/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,8,05/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,9,05/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,10,05/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,11,05/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,12,05/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,13,05/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,14,05/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,15,05/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,16,05/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,17,05/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,18,05/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,19,05/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,20,05/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,21,05/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,22,05/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,23,05/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,24,05/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,5,25,05/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,5,26,05/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,5,27,05/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,28,05/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,29,05/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,5,30,05/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,5,31,05/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,1,06/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,2,06/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,3,06/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,4,06/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,5,06/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,6,06/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,7,06/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,8,06/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,9,06/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,10,06/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,11,06/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,12,06/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,13,06/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,14,06/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,15,06/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,16,06/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,17,06/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,18,06/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,19,06/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,20,06/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,21,06/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,22,06/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,23,06/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,6,24,06/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,6,25,06/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,6,26,06/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,6,27,06/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,6,28,06/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,6,29,06/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,6,30,06/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,1,07/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,2,07/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,3,07/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,4,07/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,5,07/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,6,07/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,7,07/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,8,07/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,9,07/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,10,07/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,11,07/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,12,07/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,13,07/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,14,07/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,15,07/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,16,07/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,17,07/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,18,07/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,19,07/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,20,07/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,21,07/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,22,07/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,23,07/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,24,07/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,7,25,07/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,7,26,07/26/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,7,27,07/27/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,7,28,07/28/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,7,29,07/29/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,7,30,07/30/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,7,31,07/31/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,1,08/01/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,2,08/02/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,3,08/03/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,4,08/04/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,5,08/05/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,6,08/06/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,7,08/07/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,8,08/08/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,9,08/09/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,10,08/10/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,11,08/11/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,12,08/12/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,13,08/13/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,14,08/14/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,15,08/15/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,16,08/16/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,17,08/17/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,18,08/18/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Monday,8,19,08/19/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Tuesday,8,20,08/20/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Wednesday,8,21,08/21/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Thursday,8,22,08/22/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Friday,8,23,08/23/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Saturday,8,24,08/24/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
,Sunday,8,25,08/25/19,,,,,,,,,,,,,,,0,0.00,0,0,0:00:00,,,,
