,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Outside,Tuesday,3,20,03/20/18,460,4.14,0,07:59,7.527,33,0,0,0.32,0,18:45,3.200,6,0,460,4.46,39,0,0:39:00,3:30 PM,,,
,Wednesday,3,21,03/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Thursday,3,22,03/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Friday,3,23,03/23/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Saturday,3,24,03/24/18,369,3.41,0,08:48,6.820,30,0,0,0.31,0,16:08,3.720,5,0,369,3.72,35,0,0:35:00,11:05 AM,,,
Ike,Sunday,3,25,03/25/18,374,3.14,7:56,07:58,7.536,25,0,24,0.33,15:04,15:10,3.960,5,0,398,3.47,30,0,0:30:00,9:30 PM,,,
Ike,Monday,3,26,03/26/18,697,5.84,8:12,08:14,7.300,48,0,24,0.33,15:04,15:10,3.960,5,0,721,6.17,53,0,0:53:00,6:50 PM,,,
Ike,Tuesday,3,27,03/27/18,477,4.00,8:14,08:15,7.272,33,0,24,0.33,15:04,15:10,3.960,5,0,501,4.33,38,0,0:38:00,10:10 AM,,,
,Wednesday,3,28,03/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Thursday,3,29,03/29/18,695,5.82,8:14,08:15,7.275,48,0,24,0.33,15:01,15:10,3.960,5,0,719,6.15,53,0,0:53:00,8:15 AM,,,
Ike,Friday,3,30,03/30/18,479,4.02,8:12,08:13,7.309,33,0,25,0.33,15:04,15:10,3.960,5,0,504,4.35,38,0,0:38:00,11:15 AM,,,
Ike,Saturday,3,31,03/31/18,172,1.44,8:17,08:20,7.200,12,0,12,0.16,15:01,15:00,4.000,2,24,184,1.60,14,24,0:14:24,3:45 PM,,,
Ike,Sunday,4,1,04/01/18,725,6.07,8:14,08:15,7.284,50,0,24,0.33,15:04,15:10,3.960,5,0,749,6.40,55,0,0:55:00,7:30 PM,,,
Ike,Monday,4,2,04/02/18,479,4.01,8:13,08:14,7.290,33,0,24,0.33,14:58,15:10,3.960,5,0,503,4.34,38,0,0:38:00,11:30 AM,,,
Ike,Tuesday,4,3,04/03/18,715,6.00,7:59,08:00,7.500,48,0,24,0.34,15:04,14:43,4.080,5,0,739,6.34,53,0,0:53:00,1:25 PM,,,
Ike,Wednesday,4,4,04/04/18,479,4.01,8:12,08:14,7.290,33,0,24,0.34,15:04,14:43,4.080,5,0,503,4.35,38,0,0:38:00,6:30 PM,,,
,Thursday,4,5,04/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,4,6,04/06/18,285,2.39,7:55,07:57,7.547,19,0,18,0.26,14:57,14:37,4.105,3,48,303,2.65,22,48,0:22:48,11:10 AM,,,
Ike,Saturday,4,7,04/07/18,728,6.20,7:53,07:55,7.591,49,0,25,0.34,15:01,14:43,4.080,5,0,753,6.54,54,0,0:54:00,7:00 PM,,,
Ike,Sunday,4,8,04/08/18,480,4.02,8:12,08:13,7.309,33,0,24,0.33,14:58,15:10,3.960,5,0,504,4.35,38,0,0:38:00,11:20 AM,,,
Ike,Monday,4,9,04/09/18,487,4.09,7:48,07:50,7.668,32,0,24,0.34,14:55,14:43,4.080,5,0,511,4.43,37,0,0:37:00,11:30 AM,,,
,Tuesday,4,10,04/10/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Wednesday,4,11,04/11/18,755,6.34,7:54,07:54,7.608,50,0,24,0.34,14:58,14:43,4.080,5,0,779,6.68,55,0,0:55:00,5:10 PM,,,
Ike,Thursday,4,12,04/12/18,480,4.04,7:54,07:56,7.575,32,0,24,0.33,15:04,15:10,3.960,5,0,504,4.37,37,0,0:37:00,3:40 PM,,,
Ike,Friday,4,13,04/13/18,747,6.41,7:47,07:49,7.692,50,0,24,0.33,15:04,15:10,3.960,5,0,771,6.74,55,0,0:55:00,5:25 PM,,,
Ike,Saturday,4,14,04/14/18,0,3.63,0,08:00,7.510,29,0,0,0,0,,,0,0,0,3.63,29,0,0:29:00,,,,
,Sunday,4,15,04/15/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,4,16,04/16/18,715,6.00,7:59,08:00,7.500,48,0,24,0.34,14:58,14:43,4.080,5,0,739,6.34,53,0,0:53:00,11:20 AM,,,
Ike,Tuesday,4,17,04/17/18,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.960,5,0,501,4.34,37,0,0:37:00,2:55 PM,,,
Ike,Wednesday,4,18,04/18/18,763,6.42,7:47,07:48,7.704,50,0,24,0.33,15:04,15:10,3.960,5,0,787,6.75,55,0,0:55:00,9:30 PM,,,
,Thursday,4,19,04/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Friday,4,20,04/20/18,479,4.01,8:13,08:14,7.290,33,0,24,0.33,15:04,15:10,3.960,5,0,503,4.34,38,0,0:38:00,11:35 PM,,,
Ike,Saturday,4,21,04/21/18,478,4.01,7:58,07:59,7.518,32,0,24,0.33,14:58,15:10,3.960,5,0,502,4.34,37,0,0:37:00,5:00 PM,,,
,Sunday,4,22,04/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Monday,4,23,04/23/18,774,6.52,7:39,07:41,7.824,50,0,24,0.33,14:57,15:10,3.960,5,0,798,6.85,55,0,0:55:00,11:35 AM,,,
