Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
874,Kevin,3/19/2022,NBA,2,$88.06,L,-$88.06,CADE CUNNINGHAM AND EVAN MOBLEY EACH TO SCORE 15+ POINTS IN DET PISTONS VS. CLE CAVALIERS,NBA Boosts - RISING STARS: CADE CUNNINGHAM AND EVAN MOBLEY EACH TO SCORE 15+ POINTS IN DET PISTONS VS. CLE CAVALIERS (WAS -120) (3/19),Barstool Boost,-120,100,$176.12,$88.06,Kevin,No,Barstool,Self,,,,,,,
875,Kevin,3/19/2022,NHL,1,"$1,000.00",L,"-$1,000.00",Over 5.5 Total Goals (New York Rangers @ Tampa Bay Lightning),Over 5.5 Total Goals (New York Rangers @ Tampa Bay Lightning),None,-112,-112,"$1,900.00",$900.00,Kevin,No,Barstool,Self,,,,,,,
876,Kevin,3/19/2022,NBA,1,"$1,000.00",W,$820.00,LaMelo Ball - Over 6.5 Player Assists (Dallas Mavericks @ Charlotte Hornets),LaMelo Ball - Over 6.5 Player Assists (Dallas Mavericks @ Charlotte Hornets),None,-122,-122,"$1,820.00",$820.00,Steven Cheah,No,Barstool,Self,,,,,,,
877,Kevin,3/19/2022,NCAAB,1,"$1,000.00",W,$870.00,Over 127 Total Points (Saint Peter's @ Murray State),Over 127 Total Points (Saint Peter's @ Murray State),None,-115,-115,"$1,870.00",$870.00,Kevin,Yes,Barstool,Self,,,,,,,
878,,,,,,,,,,,,,,,,,,,,,,,,,
879,Kevin,3/20/2022,F1,1,$50.00,W,$90.00,Charles Leclerc to Win The Bahrain Grand Prix (3/20),Charles Leclerc to Win The Bahrain Grand Prix (3/20),FD Boost,130,180,$140.00,$90.00,Kevin,No,Fan Duel,Self,,,,,,,
880,Kevin,3/20/2022,NCAAB,3,$25.00,L,-$25.00,3 leg NCAAB parlay,"3 leg NCAAB parlay. Under 146 Total Points -110 (Michigan State vs Duke), Wisconsin ML -196 (Iowa State vs Wisconsin), Over 132 Total Points -110 (Notre Dame vs Texas Tech). Combined +450, no boost",None,450,450,$137.60,$112.60,Kevin,No,Fan Duel,Self,,,,,,,
881,Kevin,3/20/2022,NCAAB,1,$636.00,L,-$636.00,Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),None,-106,-106,"$1,236.00",$600.00,Steven Cheah,No,Fan Duel,Self,,,,,,,
882,Kevin,3/20/2022,NBA,2,$50.00,L,-$50.00,"Jayson Tatum And Nikola Jokic to Each Score 25+ Points (Celtics @ Nuggets, 3/20)","Jayson Tatum And Nikola Jokic to Each Score 25+ Points (Celtics @ Nuggets, 3/20)",FD Boost,140,200,$150.00,$100.00,Kevin,No,Fan Duel,Self,,,,,,,
883,Kevin,3/20/2022,NCAAB,1,$795.00,L,-$795.00,Michigan State ML (Michigan State vs Duke),Michigan State ML (Michigan State vs Duke),None,126,126,"$1,785.40",$990.40,Panic Press,Yes,Fan Duel,Self,,,"3:42 left, MSU up 1, shooting 1and1",,,,
884,Kevin,3/20/2022,NCAAB,1,"$1,100.00",L,"-$1,100.00",Under 159.5 Total Points (Michigan State vs Duke),Under 159.5 Total Points (Michigan State vs Duke),None,-113,-113,"$2,073.45",$973.45,Panic Press,Yes,Fan Duel,Self,,,"3:42 left, MSU up 1, shooting 1and1",,,,
885,Kevin,3/20/2022,NCAAB,1,"$1,200.00",L,"-$1,200.00",Over 120.5 Total Points (Iowa State @ Wisconsin),Over 120.5 Total Points (Iowa State @ Wisconsin),None,-120,-120,"$2,200.00","$1,000.00",Panic Press,Yes,Fan Duel,Self,,,,Halftime,,,
886,,,,,,,,,,,,,,,,,,,,,,,,,
887,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Over 132 Total Points (Notre Dame vs Texas Tech),Over 132 Total Points (Notre Dame vs Texas Tech),Boost-AnyBet-NCAAB,-115,114,$107.39,$57.39,Kevin,No,DK,Self,,,,,,,
888,Kevin,3/20/2022,NCAAB,3,$50.00,L,-$50.00,3 leg NCAAB SGP (Notre Dame vs Texas Tech),"3 leg NCAAB SGP (Notre Dame vs Texas Tech). Over 131.5 Total Points, Texas Tech +1.5, Notre Dame +18.5. Combined +205, boosted to +410",Boost-SGP-NCAAB,205,410,$255.00,$205.00,Kevin,No,DK,Self,,,,,,,
889,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Under 146.5 Total Points (Michigan State vs Duke),Under 146.5 Total Points (Michigan State vs Duke),Boost-AnyBet-NCAAB,-110,181,$140.90,$90.90,Tom Fornelli,No,DK,Self,,,,,,,
890,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Under 146.5 Total Points (Michigan State vs Duke),Under 146.5 Total Points (Michigan State vs Duke),Boost-AnyBet-NCAAB,-110,181,$140.90,$90.90,Tom Fornelli,No,DK,Self,,,,,,,
891,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Under 146.5 Total Points (Michigan State vs Duke),Under 146.5 Total Points (Michigan State vs Duke),Boost-AnyBet-NCAAB,-110,113,$106.81,$56.81,Tom Fornelli,No,DK,Self,,,,,,,
892,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Under 146.5 Total Points (Michigan State vs Duke),Under 146.5 Total Points (Michigan State vs Duke),Boost-AnyBet-NCAAB,-110,113,$106.81,$56.81,Tom Fornelli,No,DK,Self,,,,,,,
893,Kevin,3/20/2022,NBA,1,$100.00,L,-$100.00,Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Free Bet,-105,-105,$95.23,$95.23,Steven Cheah,No,DK,Self,,,,,,,
894,Kevin,3/20/2022,NBA,1,$100.00,L,-$100.00,Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Free Bet,-105,-105,$95.23,$95.23,Steven Cheah,No,DK,Self,,,,,,,
895,Kevin,3/20/2022,NBA,1,$313.00,L,-$313.00,Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),Jalen Green - Over 17.5 Player Points (Memphis Grizzlies @ Houston Rockets),None,-105,-105,$611.09,$298.09,Steven Cheah,No,DK,Self,,,,,,,
896,,,,,,,,,,,,,,,,,,,,,,,,,
897,Kevin,3/20/2022,NCAAB,1,$10.00,W,$5.20,The Big 3 - No - THE BIG 3'S PICKS TO GO OVER .500 ON 3/20 (8 PICKS),The Big 3 - No - THE BIG 3'S PICKS TO GO OVER .500 ON 3/20 (8 PICKS),None,-195,-195,$15.20,$5.20,Kevin,No,Barstool,Self,,,,,,,
898,Kevin,3/20/2022,NCAAB,1,"$2,500.00",L,"-$2,500.00",Over 132.5 Total Points (Ohio State vs Villanova),Over 132.5 Total Points (Ohio State vs Villanova),None,-112,-112,"$4,750.00","$2,250.00",Kevin,No,Barstool,Self,,,Bad beat,,,,
899,Kevin,3/20/2022,NCAAB,1,"$1,250.00",L,"-$1,250.00",Under 145 Total Points (Michigan State vs Duke),Under 145 Total Points (Michigan State vs Duke),None,-109,-109,"$2,400.00","$1,150.00",Tom Fornelli,No,Barstool,Self,,,,,,,
900,Kevin,3/20/2022,NCAAB,1,"$2,500.00",L,"-$2,500.00",Over 132 Total Points (Notre Dame vs Texas Tech),Over 132 Total Points (Notre Dame vs Texas Tech),None,-110,-110,"$4,775.00","$2,275.00",Kevin,No,Barstool,Self,,,,,,,
901,Kevin,3/20/2022,NCAAB,1,$900.00,L,-$900.00,Over 131.5 Total Points (Notre Dame vs Texas Tech),Over 131.5 Total Points (Notre Dame vs Texas Tech),None,-110,-110,"$1,719.00",$819.00,Kevin,No,Barstool,Self,,,,,,,
902,Kevin,3/20/2022,NHL,5,$167.32,L,-$167.32,"5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): DAL STARS VS. WAS CAPITALS, NY RANGERS VS. CAR HURRICANES, ARI COYOTES VS. SJ SHARKS, WPG JETS VS. CHI BLACKHAWKS, AND BUF SABRES VS. VAN CANUCKS","Spittin' Chiclets 5 for 5 - Back Chiclets: Yes - 5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): DAL STARS VS. WAS CAPITALS, NY RANGERS VS. CAR HURRICANES, ARI COYOTES VS. SJ SHARKS, WPG JETS VS. CHI BLACKHAWKS, AND BUF SABRES VS. VAN CANUCKS (BOOSTED FROM +190) (3/20)",Barstool Boost,190,250,$585.62,$418.30,Kevin,No,Barstool,Self,,,,,,,
903,Kevin,3/20/2022,NCAAB,1,$50.00,L,-$50.00,Over 132.5 Total Points (Notre Dame vs Texas Tech),Over 132.5 Total Points (Notre Dame vs Texas Tech),None,-107,-107,$97.00,$47.00,Kevin,No,Barstool,Self,,,,,,,
904,,,,,,,,,,,,,,,,,,,,,,,,,
905,Kevin,3/21/2022,NHL,1,"$1,150.00",CASHED OUT. WOULD HAVE LOST,"-$1,013.63",Over 6.5 Total Goals (Vegas Golden Knights @ Minnesota Wild),Over 6.5 Total Goals (Vegas Golden Knights @ Minnesota Wild),None,-115,-115,"$2,150.00","$1,000.00",Mr. Ice,No,DK,Self,,,,,,,
906,Kevin,3/21/2022,NCAAW,1,$50.00,W,$56.81,Princeton +5.5 (Princeton vs Indiana),Princeton +5.5 (Princeton vs Indiana),Boost-AnyBet-NCAAW,-110,113,$106.81,$56.81,Split,No,DK,Self,,,,,,,
907,Kevin,3/21/2022,NCAAW,1,$50.00,L,-$50.00,Indiana -5.5 (Princeton vs Indiana),Indiana -5.5 (Princeton vs Indiana),Boost-AnyBet-NCAAW,-110,113,$106.81,$56.81,Split,No,DK,Self,,,,,,,
908,Kevin,3/21/2022,NHL,1,$100.00,CASHED OUT. WOULD HAVE LOST,-$87.61,Over 6.5 Total Goals (Vegas Golden Knights @ Minnesota Wild),Over 6.5 Total Goals (Vegas Golden Knights @ Minnesota Wild),None,-115,-115,$186.95,$86.95,Mr. Ice,No,DK,Self,,,,,,,
909,Kevin,3/21/2022,NHL,1,$799.00,W,$799.00,Over 6 Total Goals (Nashville Predators @ Anaheim Ducks),Over 6 Total Goals (Nashville Predators @ Anaheim Ducks),None,100,100,"$1,598.00",$799.00,Panic Press,No,DK,Self,,,,,,,
910,Kevin,3/21/2022,NBA,3,$169.58,W,$313.72,DEMAR DEROZAN AND ZACH LAVINE EACH TO SCORE 20+ POINTS AND CHI BULLS TO WIN VS. TOR RAPTORS,Bet With Barstool Chicago - Back Barstool Chicago: Yes - DEMAR DEROZAN AND ZACH LAVINE EACH TO SCORE 20+ POINTS AND CHI BULLS TO WIN VS. TOR RAPTORS (BOOSTED FROM +145) (3/21),Barstool Boost,145,185,$483.30,$313.72,Kevin,No,Barstool,Self,,,,,,,
911,Kevin,3/21/2022,NBA,3,$85.06,W,$93.57,"DONOVAN MITCHELL TO MAKE 3+ THREE-POINTERS, KEVIN DURANT TO MAKE 2+ THREE-POINTERS, AND MIKE CONLEY TO MAKE 1+ THREE-POINTERS IN UTA JAZZ VS. BKN NETS","NBA Boosts - 3-2-1: DONOVAN MITCHELL TO MAKE 3+ THREE-POINTERS, KEVIN DURANT TO MAKE 2+ THREE-POINTERS, AND MIKE CONLEY TO MAKE 1+ THREE-POINTERS IN UTA JAZZ VS. BKN NETS (WAS -125) (3/21)",Barstool Boost,-125,110,$178.63,$93.57,Kevin,No,Barstool,Self,,,,,,,
912,Kevin,3/21/2022,NCAAB,1,$84.39,W,$126.59,GONZAGA OR KANSAS TO WIN THE 2021/2022 MEN'S NCAAB CHAMPIONSHIP,NCAAB Boosts - GONZAGA OR KANSAS TO WIN THE 2021/2022 MEN'S NCAAB CHAMPIONSHIP (WAS -110),Barstool Boost,-110,150,$210.98,$126.59,Kevin,No,Barstool,Self,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
914,Kevin,3/22/2022,NHL,2,$50.00,W,$55.00,PMI Super Boost - Sidney Crosby to Score 1+ Points and Penguins to Win v Blue Jackets (3/22),PMI Super Boost - Sidney Crosby to Score 1+ Points and Penguins to Win v Blue Jackets (3/22),FD Boost,-120,110,$105.00,$55.00,Kevin,No,Fan Duel,Self,,,,,,,
915,Kevin,3/22/2022,NBA,1,"$1,000.00",W,$833.33,Jordan Poole - Over 22.5 Player Points (Golden State Warriors @ Orlando Magic),Jordan Poole - Over 22.5 Player Points (Golden State Warriors @ Orlando Magic),None,-120,-120,"$1,833.33",$833.33,Steven Cheah,No,DK,Self,,,,,,,
916,Kevin,3/22/2022,NHL,1,$700.00,W,$538.46,Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),None,-130,-130,"$1,238.46",$538.46,Panic Press,No,DK,Self,,,,,,,
917,Kevin,3/22/2022,NHL,5,$168.07,L,-$168.07,"5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): CBJ BLUE JACKETS VS. PIT PENGUINS, TB LIGHTNING VS. CAR HURRICANES, PHI FLYERS VS. DET RED WINGS, VGS GOLDEN KNIGHTS VS. WPG JETS, AND SJ SHARKS VS. CGY FLAMES","Spittin' Chiclets 5 for 5 - Back Chiclets: Yes - 5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): CBJ BLUE JACKETS VS. PIT PENGUINS, TB LIGHTNING VS. CAR HURRICANES, PHI FLYERS VS. DET RED WINGS, VGS GOLDEN KNIGHTS VS. WPG JETS, AND SJ SHARKS VS. CGY FLAMES (BOOSTED FROM +180) (3/22)",Barstool Boost,180,220,$537.82,$369.75,Kevin,No,Barstool,Self,,,,,,,
918,Kevin,3/22/2022,NHL,1,"$1,100.00",W,$902.00,Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),None,-122,-122,"$2,002.00",$902.00,Mr. Ice,No,Barstool,Self,,,,,,,
919,Kevin,3/22/2022,NHL,1,$74.00,W,$60.68,Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),Over 6 Total Goals (Edmonton Oilers @ Dallas Stars),None,-122,-122,$134.68,$60.68,Panic Press,No,Barstool,Self,,,,,,,
920,,,,,,,,,,,,,,,,,,,,,,,,,
921,Kevin,3/23/2022,NHL,1,$200.00,L,-$200.00,Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-122,-122,$363.93,$163.93,Kevin,Yes,Fan Duel,Self,,,"End of 1st period, score is 0-0",,,,
922,Kevin,3/23/2022,NBA,1,$100.80,W,$201.60,Kevin Durant & Kyrie Irving to combine for 60+ points (3/23),Ranting: Kevin Durant & Kyrie Irving to combine for 60+ points (3/23),DK Boost,170,200,$302.40,$201.60,Kevin,No,DK,Self,,,,,,,
923,Kevin,3/23/2022,NFL,1,$25.00,,-$25.00,Kansas City Chiefs - 2023 AFC West Champions,Kansas City Chiefs - 2023 AFC West Champions,DK Special Promo,165,200,$75.00,$50.00,Kevin,No,DK,Self,,,,,,,
924,Kevin,3/23/2022,Tennis,1,$250.00,W,$195.31,Emil Ruusuvuori ML (Maxime Cressy vs Emil Ruusuvuori),Emil Ruusuvuori ML (Maxime Cressy vs Emil Ruusuvuori),VIPBoost-AnyBet-Tennis,-160,-128,$445.31,$195.31,Kevin,No,DK,Self,,,,,,,
925,Kevin,3/23/2022,NHL,1,$500.00,L,-$500.00,Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-140,-140,$857.14,$357.14,Kevin,No,DK,Self,,,,,,,
926,Kevin,3/23/2022,NHL,1,$500.00,L,-$500.00,Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-140,-140,$857.14,$357.14,Kevin,No,DK,Self,,,,,,,
927,Kevin,3/23/2022,NHL,1,$500.00,L,-$500.00,Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 6 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-140,-140,$857.14,$357.14,Kevin,No,DK,Self,,,,,,,
928,Kevin,3/23/2022,NHL,1,"$1,000.00",L,"-$1,000.00",Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-125,-125,"$1,800.00",$800.00,Panic Press,Yes,DK,Self,,,"End of 1st period, score is 0-0",,,,
929,Kevin,3/23/2022,NHL,1,$500.00,L,-$500.00,Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),Over 4.5 Total Goals (Vancouver Canucks @ Colorado Avalanche),None,-115,-115,$934.78,$434.78,Panic Press,Yes,DK,Self,,,"End of 1st period, score is 0-0",,,,
930,Kevin,3/23/2022,NBA,1,$167.75,L,-$167.75,"Bet With Barstool Philly - Back Smitty: Yes - JAMES HARDEN, JOEL EMBIID, AND TYRESE MAXEY ALL TO MAKE 1+ THREE-POINTERS AND PHI 76ERS TO WIN VS. LA LAKERS (BOOSTED FROM -105) (3/23)","Bet With Barstool Philly - Back Smitty: Yes - JAMES HARDEN, JOEL EMBIID, AND TYRESE MAXEY ALL TO MAKE 1+ THREE-POINTERS AND PHI 76ERS TO WIN VS. LA LAKERS (BOOSTED FROM -105) (3/23)",Barstool Boost,-105,115,$360.66,$192.91,Kevin,No,Barstool,Self,,,,,,,
931,,,,,,,,,,,,,,,,,,,,,,,,,
932,Kevin,3/24/2022,NCAAB,1,$50.00,L,-$50.00,PMI Super Boost - 575+ Combined Total Points Scored Across the 4 NCAA Tournament Games Played on 3/24,PMI Super Boost - 575+ Combined Total Points Scored Across the 4 NCAA Tournament Games Played on 3/24,FD Boost,-120,120,$110.00,$60.00,Kevin,No,Fan Duel,Self,,,,,,,
933,Kevin,3/24/2022,NCAAB,1,"$1,250.00",L,"-$1,250.00",Over 135 Total Points (Michigan vs Villanova),Over 135 Total Points (Michigan vs Villanova),None,-110,-110,"$2,386.36","$1,136.36",Kevin,No,Fan Duel,Self,,,,,,,
934,Kevin,3/24/2022,NCAAB,3,$25.00,L,-$25.00,3 leg NCAAB parlay,"3 leg NCAAB parlay. Gonzaga -10 -110 (Arkansas vs Gonzaga), Over 135 Total Points -110 (Michigan vs Villanova), Duke ML -110 (Texas Tech vs Duke). Combined +595, no boost",None,595,595,$173.95,$148.95,Kevin,No,Fan Duel,Self,,,,,,,
935,Kevin,3/24/2022,NBA,1,$574.70,L,-$574.70,Jaxson Hayes - Over 11.5 Player Points + Assists (Chicago Bulls @ New Orleans Pelicans),Jaxson Hayes - Over 11.5 Player Points + Assists (Chicago Bulls @ New Orleans Pelicans),None,-115,-115,"$1,074.44",$499.74,Steven Cheah,No,Fan Duel,Self,,,,,,,
936,Kevin,3/24/2022,NBA,1,$270.00,W,$250.00,Steven Adams - Over 10.5 Player Rebounds (Indiana Pacers @ Memphis Grizzlies),Steven Adams - Over 10.5 Player Rebounds (Indiana Pacers @ Memphis Grizzlies),None,-108,-108,$520.00,$250.00,Steven Cheah,No,Fan Duel,Self,,,,,,,
937,Kevin,3/24/2022,NCAAB,1,"$1,000.00",W,"$1,000.00",Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,100,100,"$2,000.00","$1,000.00",Panic Press,Yes,Fan Duel,Self,,,"8:17 left in 1st half, duke about to shoot 2 FT",,,,
938,Kevin,3/24/2022,NCAAB,1,$500.00,W,$442.48,Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-113,-113,$942.48,$442.48,Panic Press,Yes,Fan Duel,Self,,,"2nd - 07:43 left in 2nd half, Duke down 55-56, shooting 2 FTs",,,,
939,Kevin,3/24/2022,Tennis,1,$250.00,W,$240.38,Kamil Majchrzak ML (Sebastian Baez vs Kamil Majchrzak),Kamil Majchrzak ML (Sebastian Baez vs Kamil Majchrzak),VIPBoost-AnyBet-Tennis,-130,-104,$490.38,$240.38,Kevin,Yes,DK,Self,,,,,,,
940,Kevin,3/24/2022,NHL,1,$689.00,W,$574.16,Over 6 Total Goals (San Jose Sharks @ Edmonton Oilers),Over 6 Total Goals (San Jose Sharks @ Edmonton Oilers),None,-120,-120,"$1,263.16",$574.16,Mr. Ice,No,DK,Self,,,,,,,
941,Kevin,3/24/2022,NCAAB,1,$30.00,W,$21.42,Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-140,-140,$51.42,$21.42,Kevin,Yes,DK,Self,,,,,,,
942,Kevin,3/24/2022,NCAAB,1,$30.00,W,$21.42,Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-140,-140,$51.42,$21.42,Kevin,Yes,DK,Self,,,,,,,
943,Kevin,3/24/2022,NCAAB,1,$30.00,W,$21.42,Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-140,-140,$51.42,$21.42,Kevin,Yes,DK,Self,,,,,,,
944,Kevin,3/24/2022,NCAAB,1,$10.00,L,-$10.00,Gonzaga -9.5 (Arkansas vs Gonzaga),Gonzaga -9.5 (Arkansas vs Gonzaga),None,-110,-110,$19.10,$9.10,Kevin,No,Barstool,Self,,,,,,,
945,Kevin,3/24/2022,NCAAB,1,$10.00,L,-$10.00,Michigan +5 (Michigan vs Villanova),Michigan +5 (Michigan vs Villanova),None,-109,-109,$19.20,$9.20,Kevin,No,Barstool,Self,,,,,,,
946,Kevin,3/24/2022,NCAAB,1,$10.00,W,$9.00,Duke +1 (Texas Tech vs Duke),Duke +1 (Texas Tech vs Duke),None,-112,-112,$19.00,$9.00,Kevin,No,Barstool,Self,,,,,,,
947,Kevin,3/24/2022,NCAAB,1,$10.00,L,-$10.00,Arizona -1.5 (Houston vs Arizona),Arizona -1.5 (Houston vs Arizona),None,-110,-110,$19.10,$9.10,Kevin,No,Barstool,Self,,,,,,,
948,Kevin,3/24/2022,NCAAB,1,$10.00,W,$10.20,"The Big 3 - No - THE BIG 3'S PICKS TO GO OVER .500 ON 3/24 (5 PICKS): GONZAGA -9.5, MICHIGAN +5.5, TEXAS TECH -0.5, TEXAS TECH/DUKE OVER 136.5, AND HOUSTON +2.5","The Big 3 - No - THE BIG 3'S PICKS TO GO OVER .500 ON 3/24 (5 PICKS): GONZAGA -9.5, MICHIGAN +5.5, TEXAS TECH -0.5, TEXAS TECH/DUKE OVER 136.5, AND HOUSTON +2.5",None,102,102,$20.20,$10.20,Kevin,No,Barstool,Self,,,,,,,
949,Kevin,3/24/2022,NCAAB,1,"$1,250.00",W,"$1,187.50",Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-106,-106,"$2,437.50","$1,187.50",MarkInPhilly,No,Barstool,Self,,,,,,,
950,Kevin,3/24/2022,NCAAB,1,$669.00,W,$615.48,Duke ML (Texas Tech vs Duke),Duke ML (Texas Tech vs Duke),None,-106,-106,"$1,284.48",$615.48,Panic Press,No,Barstool,Self,,,,,,,
951,,,,,,,,,,,,,,,,,,,,,,,,,
952,Kevin,3/25/2022,NCAAB,1,"$1,000.00",L,"-$1,000.00",Over 131.5 Total Points (Iowa State vs Miami),Over 131.5 Total Points (Iowa State vs Miami),None,-110,-110,"$1,909.09",$909.09,Kevin,No,Fan Duel,Self,,,,,,,
953,Kevin,3/25/2022,NCAAB,1,"$1,000.00",L,"-$1,000.00",Over 141.5 Total Points (North Carolina vs UCLA),Over 141.5 Total Points (North Carolina vs UCLA),None,-110,-110,"$1,909.09",$909.09,Kevin,No,Fan Duel,Self,,,,,,,
954,Kevin,3/25/2022,NCAAB,1,$50.00,W,$60.00,PMI Super Boost - St. Peter's to Score 60+ Total Team Points v Purdue (3/25),PMI Super Boost - St. Peter's to Score 60+ Total Team Points v Purdue (3/25),FD Boost,-115,120,$110.00,$60.00,Kevin,No,Fan Duel,Self,,,,,,,
955,Kevin,3/25/2022,NCAAB,3,$25.00,L,-$25.00,3 leg NCAAB parlay,"3 leg NCAAB parlay. Providence +7 -114 (Providence vs Kansas), Over 141.5 Total Points -110 (North Carolina vs UCLA), Over 132 Total Points -110 (Iowa State vs Miami). Combined +584, no boost",None,584,584,$171.04,$146.04,Kevin,No,Fan Duel,Self,,,,,,,
956,Kevin,3/25/2022,NHL,1,"$1,008.00",W,$806.40,Over 6.5 Total Goals (Columbus Blue Jackets @ Winnipeg Jets),Over 6.5 Total Goals (Columbus Blue Jackets @ Winnipeg Jets),None,-125,-125,"$1,814.40",$806.40,Mr. Ice,No,DK,Self,,,LUCKY AF !!! almost a terrible bad beat. 3-2 at end of 2nd,,,,
957,Kevin,3/25/2022,Tennis,2,$250.00,L,-$250.00,2 leg Tennis parlay,"2 leg Tennis parlay. Casper Ruud ML -700 (Casper Ruud vs Henri Laaksonen), Grigor Dimitrov ML -175 (Grigor Dimitrov vs Mackenzie McDonald). Combined -127, boosted to -101",VIPBoost-AnyBet-Tennis,-127,-101,$498.72,$248.72,Kevin,No,DK,Self,,,,,,,
958,Kevin,3/25/2022,NCAAB,1,$500.00,W,$434.78,Over 116.5 Total Points (Iowa State vs Miami),Over 116.5 Total Points (Iowa State vs Miami),None,-115,-115,$934.78,$434.78,Kevin,Yes,DK,Self,,,3:59 left,,,,
959,Kevin,3/25/2022,NCAAB,1,$250.00,W,$227.50,Providence +7 (Providence vs Kansas),Providence +7 (Providence vs Kansas),None,-110,-110,$477.50,$227.50,Kevin,No,Barstool,Self,,,,,,,
960,Kevin,3/25/2022,NCAAB,1,$10.00,L,-$10.00,Purdue -13 (Saint Peter's vs Purdue),Purdue -13 (Saint Peter's vs Purdue),None,-108,-108,$19.30,$9.30,Kevin,No,Barstool,Self,,,,,,,
961,Kevin,3/25/2022,NCAAB,1,$10.00,L,-$10.00,UCLA -2.5 (North Carolina vs UCLA),UCLA -2.5 (North Carolina vs UCLA),None,-112,-112,$19.00,$9.00,Kevin,No,Barstool,Self,,,,,,,
962,Kevin,3/25/2022,NCAAB,1,$10.00,L,-$10.00,Iowa State +3 (Iowa State vs Miami),Iowa State +3 (Iowa State vs Miami),None,-109,-109,$19.20,$9.20,Kevin,No,Barstool,Self,,,,,,,
963,Kevin,3/25/2022,NBA,1,"$1,500.00",W,"$1,725.00",Cade Cunningham - Over 6.5 Player Assissts (Washington Wizards @ Detroit Pistons),Cade Cunningham - Over 6.5 Player Assissts (Washington Wizards @ Detroit Pistons),None,115,115,"$3,225.00","$1,725.00",Steven Cheah,No,Barstool,Self,,,,,,,
964,Kevin,3/25/2022,NCAAB,1,"$1,000.00",L,"-$1,000.00",Iowa State ML (Iowa State vs Miami),Iowa State ML (Iowa State vs Miami),None,143,143,"$2,430.00","$1,430.00",KellyInVegas,No,Barstool,Self,,,,,,,
965,,,,,,,,,,,,,,,,,,,,,,,,,
966,Kevin,3/26/2022,NCAAB,2,$50.00,L,-$50.00,Collin Gillespie and Paolo Banchero to Each Score 15+ Points (3/26),Collin Gillespie and Paolo Banchero to Each Score 15+ Points (3/26),FD Boost,170,250,$175.00,$125.00,Kevin,No,Fan Duel,Self,,,,,,,
967,Kevin,3/26/2022,NCAAB,1,"$1,408.00",W,$800.00,Duke ML (Arkansas vs Duke),Duke ML (Arkansas vs Duke),None,-176,-176,"$2,208.00",$800.00,Kevin,No,Fan Duel,Self,,,,,,,
