Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
31,Kevin,1/3/2022,NFL,1,$70.91,L,-$70.91,NICK CHUBB OR DIONTAE JOHNSON TO SCORE A TOUCHDOWN IN THE SECOND HALF OF CLE BROWNS VS. PIT STEELERS,NFL Live Halftime Boost - NICK CHUBB OR DIONTAE JOHNSON TO SCORE A TOUCHDOWN IN THE SECOND HALF OF CLE BROWNS VS. PIT STEELERS (WAS -110) (1/3),Barstool Boost,-110,115,$152.46,$81.55,Kevin,No,Barstool,Self,,,,,,-$70.91,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kevin,1/4/2022,NBA,1,$50.00,W,$40.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Knicks v Pacers (1/4),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Knicks v Pacers (1/4),FD Boost,-170,-125,$90.00,$40.00,Kevin,No,Fan Duel,Self,,,,,,$40.00,
34,Kevin,1/4/2022,NBA,1,$50.00,L,-$50.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Lakers v Kings (1/4),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Lakers v Kings (1/4),FD Boost,100,140,$120.00,$70.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
35,Dad,1/4/2022,MLB,1,$50.00,CASHED OUT,$0.00,Chicago White Sox - AL Champions 2022,Chicago White Sox - AL Champions 2022,None,550,550,$325.00,$275.00,Dad,No,Fan Duel,Self,,,,,,$0.00,
36,Kevin,1/4/2022,NHL,1,$250.00,L,-$250.00,Over 5.5 Total Goals (Winnipeg Jets @ Arizona Coyotes),Over 5.5 Total Goals (Winnipeg Jets @ Arizona Coyotes),VIPBoost-NHL-Any,-120,104,$510.41,$260.41,Mr. Ice,No,DK,Self,,,,,,-$250.00,
37,Kevin,1/4/2022,NHL,1,$250.00,L,-$250.00,Over 5.5 Total Goals (Winnipeg Jets @ Arizona Coyotes),Over 5.5 Total Goals (Winnipeg Jets @ Arizona Coyotes),VIPBoost-NHL-Any,-120,104,$510.41,$260.41,Mr. Ice,No,DK,Self,,,,,,-$250.00,
38,Kevin,1/4/2022,NBA,1,$10.00,L,-$10.00,Devin Booker - First FG Scorer (Phoenix Suns @ New Orleans Pelicans),Devin Booker - First FG Scorer (Phoenix Suns @ New Orleans Pelicans),None,500,500,$60.00,$50.00,Kevin,No,Barstool,Self,,,,,,-$10.00,
39,Kevin,1/4/2022,NHL,1,$10.00,L,-$10.00,Jonathan Marchessault - First Goal Scorer (Nashville Predators @ Vegas Golden Knights),Jonathan Marchessault - First Goal Scorer (Nashville Predators @ Vegas Golden Knights),None,1050,1050,$115.00,$105.00,Kevin,No,Barstool,Self,,,,,,-$10.00,
40,,,,,,,,,,,,,,,,,,,,,,,,,
41,Kevin,1/5/2022,NBA,2,$50.00,W,$140.00,Odds Boost - Fred VanVleet To Make 3+ Threes and Raptors to Win (Must Play vs. Bucks 1/5),Odds Boost - Fred VanVleet To Make 3+ Threes and Raptors to Win (Must Play vs. Bucks 1/5),FD Boost,160,280,$190.00,$140.00,Kevin,No,Fan Duel,Self,,,,,,$140.00,
42,Kevin,1/5/2022,NBA,1,$50.00,L,-$50.00,Over 224.5 Total Points (Utah Jazz Denver Nuggets),Over 224.5 Total Points (Utah Jazz Denver Nuggets),None,-110,-110,$95.45,$45.45,Kevin,No,DK,Self,,,,,,-$50.00,
43,Kevin,1/5/2022,NBA,1,$50.00,L,-$50.00,Over 25.5 - TOTAL THREE-POINTERS MADE IN GS WARRIORS VS. DAL MAVERICKS (1/5),"Bet With Kayce: On Wednesdays, We Bet Overs - Over 25.5 - TOTAL THREE-POINTERS MADE IN GS WARRIORS VS. DAL MAVERICKS (1/5)",None,-110,-110,$95.50,$45.50,Kevin,No,Barstool,Self,Kacey,,,,,-$50.00,
44,Kevin,1/5/2022,NHL,1,$10.00,W,$170.00,Correct Score 2-4 (Edmonton Oilers @ Toronto Maple Leafs),Correct Score 2-4 (Edmonton Oilers @ Toronto Maple Leafs),None,1700,1700,$180.00,$170.00,Kevin,No,Barstool,Self,,,,,,$170.00,
45,,,,,,,,,,,,,,,,,,,,,,,,,
46,Kevin,1/6/2022,NBA,4,$10.00,L,-$10.00,4 leg NBA SGP (Boston Celtics @ New York Knicks),"4 leg NBA SGP (Boston Celtics @ New York Knicks). Boston Celtics -2.5 -110, Over 208.5 Total Points -110, Jaylen Brown Over 23.5 Points -106, Julius Randle Over 21.5 Points -108. Combined +977, no boost.",None,977,977,$107.80,$97.80,Kevin,No,Fan Duel,Self,,,,,,-$10.00,
47,Kevin,1/6/2022,NBA,1,$50.00,W,$40.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Knicks v Celtics (1/6),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Knicks v Celtics (1/6),FD Boost,-170,-125,$90.00,$40.00,Kevin,No,Fan Duel,Self,,,,,,$40.00,
48,Kevin,1/6/2022,NBA,1,$50.00,L,-$50.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Suns v Clippers (1/6),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Suns v Clippers (1/6),FD Boost,-120,110,$105.00,$55.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
49,Kevin,1/6/2022,NBA,2,$69.65,L,-$70.00,BOS CELTICS AND PHX SUNS BOTH TO WIN,NBA Boosts - BOS CELTICS AND PHX SUNS BOTH TO WIN (WAS +110) (1/6),Barstool Boost,110,130,$160.20,$90.55,Kevin,No,Barstool,Self,,,,,,-$70.00,
50,Kevin,1/6/2022,NCAAB,4,$50.00,L,-$50.00,4 leg NCAAB parlay,"4 leg NCAAB parlay. UCLA -26.5 -110 (Long Beach State @ UCLA), Oral Roberts ML -200 (Oral Roberts @ Saint Thomas Tommies), Rice ML -200 (Middle Tennessee State @ Rice), Albany ML -190 (Binghamton @ Albany)",None,558,558,$328.76,$278.76,Kevin,No,Barstool,Self,,,,,,-$50.00,
51,Kevin,1/6/2022,NBA,2,$72.44,L,-$70.00,JA MORANT TO SCORE 25+ POINTS AND MEM GRIZZLIES TO WIN VS. DET PISTONS,NBA Boosts - JA MORANT TO SCORE 25+ POINTS AND MEM GRIZZLIES TO WIN VS. DET PISTONS (WAS -120) (1/6),Barstool Boost,-120,100,$144.88,$72.44,Kevin,No,Barstool,Self,,,,,,-$70.00,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,Kevin,1/7/2022,Soccer,2,$50.00,W,$150.00,Man City to Win v Swindon and 5+ Total Goals Scored in Match (1/7),Man City to Win v Swindon and 5+ Total Goals Scored in Match (1/7),FD Boost,230,300,$200.00,$150.00,Kevin,No,Fan Duel,Self,,,,,,$150.00,
54,Kevin,1/7/2022,NBA,1,$25.00,L,-$25.00,Giannis Antetokounmpo - First FG Scorer (Milwaukee Bucks @ Brooklyn Nets),Giannis Antetokounmpo - First FG Scorer (Milwaukee Bucks @ Brooklyn Nets),None,460,460,$140.00,$115.00,Kevin,No,Fan Duel,Self,,,,,,-$25.00,
55,Kevin,1/7/2022,NBA,2,$50.00,L,-$50.00,"NBA Happy Hour Boost - James Harden to Record a Double Double and Nets to Win (v Bucks, 1/7)","NBA Happy Hour Boost - James Harden to Record a Double Double and Nets to Win (v Bucks, 1/7)",FD Boost,-105,160,$130.00,$80.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
56,Kevin,1/7/2022,NBA,1,$139.89,L,-$139.89,"DEMAR DEROZAN, ZACH LAVINE, AND LONZO BALL TO RECORD 90+ COMBINED POINTS, REBOUNDS & ASSISTS VS. WAS WIZARDS","Bet With Barstool Chicago - Back Barstool Chicago: Yes - DEMAR DEROZAN, ZACH LAVINE, AND LONZO BALL TO RECORD 90+ COMBINED POINTS, REBOUNDS & ASSISTS VS. WAS WIZARDS (BOOSTED FROM -105) (1/7)",Barstool Boost,-105,110,$293.77,$153.88,Kevin,No,Barstool,Self,,,,,,-$139.89,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,Kevin,1/8/2022,NFL,2,$50.00,L,-$50.00,Darrel Williams to Score 1+ TDs and Chiefs to Win v Broncos (1/8),Darrel Williams to Score 1+ TDs and Chiefs to Win v Broncos (1/8),FD Boost,130,160,$130.00,$80.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
